handle,rating,maxRating,regTime,schedules,two pointers,constructive algorithms,geometry,matrices,sortings,math,ternary search,graph matchings,data structures,trees,strings,bitmasks,graphs,greedy,hashing,meet-in-the-middle,implementation,binary search,chinese remainder theorem,divide and conquer,flows,probabilities,dp,2-sat,expression parsing,string suffix structures,dsu,fft,dfs and similar,brute force,games,interactive,combinatorics,number theory,shortest paths,all,pupil,spe,exp,cm,m,im,gm,igm
maroonrk,3204,3650,1437974478,1,54,262,55,30,100,366,4,30,347,208,59,102,228,284,39,10,141,137,4,89,37,60,378,8,0,19,68,42,163,165,31,65,156,81,50,2280.0,522.370625,522.370625,522.370625,957.4261805555556,1007.3289583333334,1035.3949305555554,1035.3949305555554,1179.4678472222222
WYZFL,3200,3200,1651701612,1,3,14,1,1,2,16,1,0,11,7,2,8,6,12,2,1,3,8,0,2,1,4,15,0,0,1,6,3,4,9,1,3,11,5,3,96.0,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67
AoLiGei,3199,3199,1609768168,1,2,18,3,0,5,22,1,3,15,10,1,6,15,20,1,1,7,9,0,3,1,10,31,0,0,0,3,5,9,14,2,5,15,2,12,144.0,4.03162037037037,4.03162037037037,45.03162037037037,45.03162037037037,45.03162037037037,64.9274537037037,64.9274537037037,251.03162037037038
dXqwq,3188,3188,1548944857,1,55,161,22,25,65,276,5,12,260,130,39,102,137,203,32,8,115,118,5,72,20,50,303,8,1,14,48,29,119,142,28,52,141,77,45,1815.0,6.963460648148148,6.963460648148148,232.6926273148148,433.00512731481484,537.0051273148148,822.0051273148148,850.0051273148148,1032.005127314815
WZYYN,3180,3180,1514157893,1,81,225,63,38,108,333,7,24,378,210,62,112,252,273,40,12,151,161,5,90,49,67,434,10,1,32,63,46,179,161,35,72,154,99,50,3145.0,3.6111921296296297,3.6111921296296297,3.6111921296296297,11.632025462962963,629.4653587962963,670.4861921296297,670.4861921296297,699.3611921296297
qazswedx2,3172,3198,1548981532,0,46,135,17,13,54,166,5,10,153,82,23,53,102,148,16,4,70,58,3,37,13,25,182,5,1,10,25,24,75,66,18,32,82,53,26,899.0,9.559814814814814,9.559814814814814,22.403564814814814,120.58064814814814,82.58064814814814,198.54592592592593,319.60148148148147,698.5806481481482
Ormlis,3168,3410,1568806149,1,93,284,43,30,135,401,12,25,386,227,69,130,218,373,41,12,194,173,8,85,28,49,437,12,0,18,90,32,200,230,40,60,184,104,57,3629.0,37.98322916666667,37.98322916666667,70.0978125,102.10822916666666,148.1290625,354.1290625,402.98322916666666,508.1290625
Nachia,3151,3151,1580626263,0,14,45,7,7,23,70,2,4,45,27,10,21,38,47,5,1,27,22,1,10,3,5,59,0,0,2,15,3,32,28,6,9,27,12,7,514.0,28.266631944444445,28.266631944444445,28.266631944444445,73.3221875,73.3221875,153.32913194444444,153.32913194444444,402.21802083333336
QuietBeautifulThoughts,3146,3262,1635614561,0,3,18,0,1,13,20,1,3,16,9,4,4,17,25,1,0,12,10,0,5,3,6,24,1,0,1,7,1,14,10,3,2,12,8,5,149.0,12.88355324074074,12.88355324074074,41.69605324074074,41.69605324074074,41.69605324074074,41.69605324074074,41.69605324074074,41.69605324074074
QAQAutoMaton,3143,3428,1469854303,0,28,90,15,11,45,144,4,8,160,73,19,52,97,139,13,6,62,60,0,31,15,20,176,4,1,7,23,10,68,58,16,25,62,35,21,1011.0,30.300891203703703,30.300891203703703,517.4501967592593,532.3425578703703,701.3842245370371,889.4883912037037,922.3633912037037,1194.4258912037037
ugly2333,3141,3296,1484836096,1,39,132,25,21,56,184,3,14,198,115,27,59,125,153,29,5,86,79,0,44,18,30,223,2,1,12,44,12,97,96,22,37,85,49,28,1380.0,0.02550925925925926,0.02550925925925926,37.733842592592595,138.9074537037037,211.02550925925925,354.0116203703704,452.98384259259257,622.6921759259259
p_b_p_b,3137,3137,1521264621,0,10,61,20,7,24,96,2,6,113,64,16,20,56,54,7,3,27,38,2,28,6,22,128,3,0,16,17,13,40,22,7,23,52,23,9,740.0,136.37822916666667,136.37822916666667,153.37822916666667,392.3573958333333,637.2323958333334,1100.3261458333334,1100.3261458333334,1673.3782291666666
Mr_Eight,3136,3136,1595396567,0,19,83,12,9,31,105,1,12,126,66,17,41,74,88,7,3,46,47,3,43,21,17,121,1,0,6,22,18,54,49,8,18,56,37,27,631.0,8.369594907407407,8.369594907407407,18.369594907407407,18.369594907407407,39.36959490740741,242.31751157407408,306.3695949074074,435.1890393518519
ko_osaga,3136,3500,1399274936,1,35,108,46,18,67,165,7,18,254,112,52,56,134,148,29,4,81,96,0,55,35,26,216,6,0,17,42,15,105,83,13,31,64,40,36,2183.0,73.27157407407407,73.27157407407407,73.27157407407407,160.27157407407407,347.3549074074074,443.27157407407407,664.4451851851852,765.3792129629629
353cerega,3133,3153,1506791068,1,45,179,32,19,65,243,2,18,195,107,39,75,135,188,28,7,89,106,2,43,17,58,262,6,0,8,53,25,113,115,30,49,110,74,33,3096.0,0.00037037037037037035,0.00037037037037037035,0.00037037037037037035,174.93787037037038,900.8962037037037,1105.9066203703703,1162.8962037037038,1246.854537037037
maspy,3129,3385,1621878251,2,219,585,198,99,332,975,29,68,1063,560,226,330,638,819,142,30,526,492,15,217,113,172,1243,27,10,71,220,75,558,584,90,130,402,304,162,10635.0,53.86862268518519,53.86862268518519,53.86862268518519,68.86862268518519,68.86862268518519,68.86862268518519,68.86862268518519,96.86862268518519
Petr,3127,3597,1267103024,2,22,109,45,16,66,170,3,10,145,85,34,54,100,138,18,1,87,58,0,37,10,35,216,5,4,7,33,4,80,85,21,15,67,33,18,1248.0,0.16407407407407407,0.16407407407407407,0.16407407407407407,35.111990740740744,49.111990740740744,306.1224074074074,429.08074074074074,550.1224074074074
PubabaOnO,3127,3225,1615476728,1,10,49,8,4,20,61,1,3,40,31,7,15,32,48,3,1,27,26,0,8,5,10,55,1,0,1,12,3,30,31,5,11,25,8,10,363.0,22.960324074074073,22.960324074074073,31.960324074074073,38.91865740740741,38.91865740740741,51.96032407407407,79.96032407407408,261.9603240740741
cmll02,3120,3120,1615883148,0,11,49,3,4,24,68,2,4,38,31,8,21,31,66,7,1,31,32,0,8,3,7,71,1,0,0,21,1,31,40,7,15,31,10,9,365.0,113.25638888888889,120.25638888888889,120.25638888888889,222.0688888888889,222.0688888888889,242.90222222222224,242.90222222222224,312.25638888888886
peti1234,3112,3112,1465403553,0,144,435,62,35,203,564,17,49,515,314,91,190,389,544,64,16,292,270,8,123,56,81,664,18,0,23,128,39,359,347,61,120,236,169,94,5359.0,0.0017013888888888888,221.02253472222222,287.9392013888889,819.0017013888889,1031.7933680555554,1354.9808680555554,1486.9253125,1620.9183680555554
isaf27,3110,3160,1429562278,0,16,74,20,6,37,104,5,8,75,64,20,32,62,83,12,0,53,50,2,15,7,19,111,0,0,6,18,10,57,49,7,19,44,35,14,1102.0,311.85905092592594,311.85905092592594,313.89724537037034,407.83127314814817,726.7896064814814,744.7583564814814,1224.831273148148,1299.7479398148148
Elegia,3109,3177,1496225064,0,19,84,27,17,40,154,2,11,147,85,33,47,87,109,17,1,52,55,5,34,12,23,150,3,1,8,34,25,71,62,8,18,69,51,26,1207.0,117.02125,117.02125,117.02125,260.1879166666667,321.1670833333333,421.20875,424.9240277777778,731.1879166666666
BurnedChicken,3105,3255,1558859636,0,80,288,36,27,101,409,9,25,308,183,53,132,194,313,35,9,181,154,4,80,20,63,381,8,0,13,71,34,177,214,44,83,165,131,46,3446.0,126.18824074074074,126.18824074074074,144.20907407407407,252.2299074074074,313.25074074074075,389.2576851851852,503.2611574074074,783.2507407407408
wangziji,3096,3096,1521815057,0,20,59,12,2,21,51,1,6,80,27,11,27,36,67,7,5,36,40,1,19,7,10,66,2,1,3,24,2,30,39,5,12,24,11,7,746.0,515.0074421296297,515.0074421296297,544.0699421296297,593.0282754629629,645.9866087962963,714.7991087962963,851.0074421296297,1052.0074421296297
potato167,3093,3209,1596987046,1,54,138,16,19,73,248,4,12,178,102,32,64,96,202,22,2,118,99,2,36,10,34,235,6,0,5,47,16,105,134,16,31,115,54,24,1677.0,20.96127314814815,20.96127314814815,20.96127314814815,27.96127314814815,27.96127314814815,236.96127314814814,349.96127314814817,446.96127314814817
Sugar_fan,3090,3090,1507114332,0,79,154,40,16,91,278,9,15,286,131,58,101,138,243,39,7,152,145,6,80,21,26,330,10,0,21,53,19,142,190,18,44,125,93,42,3511.0,2.1130555555555555,2.1130555555555555,2.1130555555555555,311.11305555555555,338.15472222222223,452.15472222222223,549.0297222222222,742.1547222222222
kiwihadron,3089,3114,1509714521,0,1,9,1,0,6,24,0,1,8,7,1,3,8,14,2,0,3,7,0,1,1,2,20,0,0,0,2,0,5,10,3,4,10,9,2,90.0,42.93494212962963,42.93494212962963,42.93494212962963,70.99744212962963,1479.8516087962962,1541.0599421296297,1546.0599421296297,1546.0599421296297
275307894a,3083,3083,1566220992,0,44,112,23,25,55,217,7,12,259,140,47,79,112,155,23,8,68,92,1,68,35,51,267,5,1,23,49,23,90,104,19,29,97,61,28,1228.0,1.0498611111111111,1.0498611111111111,317.0081944444444,390.0151388888889,432.0290277777778,943.9248611111111,1019.0498611111111,1297.8415277777779
Szoboszlai10,3083,3083,1558819226,0,18,44,8,4,26,50,2,5,57,31,11,23,32,58,5,2,34,18,0,16,7,7,55,2,0,3,18,1,24,25,6,14,15,15,8,442.0,6.718449074074074,6.718449074074074,6.718449074074074,6.718449074074074,8.69761574074074,322.69761574074073,322.69761574074073,525.5726157407407
Egor,3081,3235,1267463213,3,49,168,55,21,94,229,5,15,213,104,51,71,155,226,35,3,143,103,0,31,21,49,296,3,6,15,45,11,126,129,28,26,98,61,38,2623.0,10.786886574074074,10.786886574074074,10.786886574074074,37.943136574074074,167.91188657407406,329.95355324074075,475.91188657407406,717.9118865740741
Laurie,3074,3118,1614071490,0,6,29,1,1,11,39,0,1,27,9,7,4,12,29,5,1,13,14,0,4,2,3,23,0,0,0,8,1,15,17,6,4,15,10,1,153.0,11.203819444444445,11.203819444444445,11.203819444444445,23.235069444444445,94.20381944444445,149.22465277777778,149.22465277777778,354.2246527777778
jiangbowen_,3074,3074,1593695991,0,36,109,16,17,48,167,2,18,175,106,40,59,100,160,27,3,59,65,2,51,34,30,194,5,1,17,24,21,75,85,21,20,91,29,24,810.0,22.0521875,28.0521875,36.0521875,90.0521875,225.06260416666666,499.6980208333333,675.0521875,1398.0521875
crazy_sea,3073,3146,1587981005,0,11,79,5,8,25,82,2,2,56,47,13,25,51,64,9,0,37,27,0,18,8,17,80,1,0,7,17,9,37,44,14,23,42,18,12,423.0,564.1978587962963,564.1978587962963,606.1978587962963,606.1978587962963,635.1978587962963,692.0728587962963,825.177025462963,981.1978587962963
Kapt,3072,3072,1435332260,0,18,68,11,9,33,130,3,5,79,61,14,38,59,88,12,2,45,46,2,23,7,23,124,1,0,1,25,19,58,65,12,19,63,24,14,1006.0,3.9831018518518517,3.9831018518518517,1093.0074074074073,1354.049074074074,1540.9032407407408,1873.9657407407408,1947.8199074074073,2659.965740740741
JoesSR,3070,3070,1586868837,0,66,198,19,26,93,315,5,14,264,158,42,109,156,260,28,9,125,128,5,69,23,48,355,6,0,13,55,29,146,158,28,51,141,83,34,1758.0,32.85142361111111,32.85142361111111,32.85142361111111,488.0701736111111,563.0701736111112,936.0701736111112,936.0701736111112,1058.8618402777777
blackyuki,3070,3070,1587459151,0,8,35,3,1,19,31,2,6,30,18,4,8,28,38,4,1,19,18,1,9,3,5,41,1,0,0,18,3,25,23,6,4,17,8,6,289.0,2.2447800925925927,2.2447800925925927,2.2447800925925927,5.237835648148148,21.154502314814813,221.92533564814815,242.0295023148148,404.2378356481481
Qingyu,3065,3065,1527511638,0,22,60,12,7,27,92,3,6,74,36,12,23,50,66,7,4,30,35,1,18,12,21,116,0,0,6,22,8,34,40,8,11,38,25,16,693.0,62.81090277777778,62.81090277777778,243.11645833333333,298.095625,991.0852083333333,1525.0539583333334,1525.0539583333334,1664.0747916666667
FastFreeTask,3060,3084,1642271095,0,5,13,2,1,10,30,0,2,18,9,2,6,9,20,4,0,11,13,0,2,1,4,25,0,0,0,9,1,7,19,1,0,12,4,4,143.0,37.84033564814815,37.84033564814815,65.8472800925926,65.8472800925926,83.84033564814816,123.84033564814816,138.84033564814814,286.6146412037037
bmerry,3056,3089,1338992938,2,43,85,31,15,58,165,7,16,211,101,46,62,113,128,29,4,79,89,4,54,27,33,242,1,1,20,45,21,94,84,12,22,96,57,15,1473.0,4.04238425925926,4.04238425925926,4.04238425925926,16.042384259259258,35.04238425925926,163.04238425925925,284.0423842592593,402.1048842592593
skip2004,3052,3075,1514696500,1,16,50,35,11,33,101,1,5,161,83,35,30,71,79,22,4,44,48,3,29,16,21,129,5,1,12,30,13,56,50,11,9,35,31,22,968.0,45.29398148148148,328.10648148148147,328.10648148148147,479.39814814814815,773.3981481481482,793.3981481481482,793.3981481481482,1029.2523148148148
dorijanlendvaj,3049,3204,1356542221,1,32,108,19,14,56,167,4,12,154,70,22,41,99,164,21,2,91,70,1,29,7,28,159,5,0,8,40,10,80,94,9,31,59,51,23,1872.0,1107.8666550925925,1107.8666550925925,1677.887488425926,1828.932627314815,2131.9291550925927,2367.9916550925927,2425.8527662037036,2488.6583217592593
AlternatingCurrent,3047,3047,1531652378,0,20,58,13,6,33,91,2,6,75,42,16,25,51,85,10,2,46,47,2,14,13,20,109,1,0,1,29,5,44,58,7,13,52,16,13,669.0,136.14956018518518,165.14956018518518,189.04539351851852,578.1495601851852,908.1495601851852,1098.1495601851852,1419.1495601851852,1589.1495601851852
MagicSpark,3047,3047,1540373011,0,32,59,10,16,36,88,4,7,116,56,19,36,67,96,17,6,43,47,1,34,11,19,138,3,1,10,23,7,56,51,5,16,45,27,11,695.0,60.1746412037037,60.1746412037037,60.1746412037037,106.1746412037037,416.82047453703706,707.2163078703703,724.1538078703703,1012.2163078703703
liuhengxi,3045,3045,1572930098,0,79,242,55,39,104,378,8,32,470,244,84,153,249,305,56,14,134,189,6,115,56,68,510,9,1,37,88,48,196,190,31,57,188,131,62,1632.0,268.3981712962963,268.3981712962963,278.3981712962963,278.3981712962963,278.3981712962963,628.3981712962963,767.2106712962963,1075.3981712962964
panole,3044,3044,1475277007,0,7,38,11,7,10,49,0,5,46,38,11,13,34,42,5,1,10,14,0,11,6,10,58,3,1,4,10,4,32,13,2,9,12,11,7,307.0,733.3297800925926,733.3297800925926,733.3297800925926,825.6492245370371,841.5381134259259,841.5381134259259,917.5172800925926,1007.6631134259259
kotatsugame,3042,3094,1476511324,1,104,261,38,26,132,376,11,17,355,188,66,122,204,374,42,8,224,187,5,72,24,44,431,12,0,13,84,16,203,258,23,62,164,106,57,3426.0,7.377037037037037,7.377037037037037,96.37703703703704,440.4013425925926,722.4603703703704,1096.3562037037036,1158.377037037037,1494.3562037037036
jiangbowen,3035,3035,1635680930,0,27,85,12,12,38,157,4,8,185,94,38,69,94,122,21,5,73,68,1,35,12,32,186,3,0,13,32,12,81,106,8,29,70,57,22,1120.0,194.90706018518517,194.90706018518517,194.90706018518517,203.11539351851852,273.0945601851852,497.11539351851854,545.1153935185185,679.0945601851852
gisp_zjz,3033,3213,1506328469,0,31,118,26,10,55,185,1,14,121,82,26,55,106,140,15,4,65,66,1,26,12,32,163,4,0,3,34,16,66,75,16,32,81,47,25,1582.0,0.08369212962962963,0.08369212962962963,0.08369212962962963,19.979525462962965,105.25730324074074,204.22952546296295,204.22952546296295,484.25035879629627
cz_xuyixuan,3030,3030,1483324394,0,10,67,35,11,19,115,1,8,119,77,28,35,71,63,16,2,33,44,3,30,13,15,112,6,1,23,22,19,51,47,16,25,36,28,13,850.0,203.50122685185184,203.50122685185184,203.50122685185184,228.52206018518518,286.2303935185185,426.5428935185185,431.2338657407407,592.5012268518518
1a2b3c4,3029,3029,1499179994,0,1,4,1,1,6,12,1,0,11,9,1,4,6,8,2,0,5,2,1,3,2,1,15,1,0,0,4,1,9,7,1,1,3,3,0,82.0,45.0081712962963,45.0081712962963,45.0081712962963,1652.8831712962963,1652.8831712962963,2153.987337962963,2153.987337962963,2153.987337962963
SSerxhs,3027,3027,1597043614,1,44,118,20,15,54,208,2,14,182,115,28,70,102,149,28,4,107,93,2,51,17,29,203,5,0,6,50,14,108,130,17,29,98,50,26,2079.0,27.306550925925926,27.306550925925926,27.306550925925926,33.271828703703704,51.306550925925926,61.31696759259259,83.16071759259259,684.3065509259259
duality,3023,3341,1519345842,0,29,163,29,13,55,195,4,17,166,114,27,67,128,145,17,3,63,73,3,26,14,34,181,6,0,8,36,18,88,74,17,52,73,44,25,1180.0,93.59673611111111,93.59673611111111,93.59673611111111,93.59673611111111,169.54465277777777,421.7321527777778,443.5863194444444,568.5238194444445
KAN,3014,3025,1308220990,0,14,39,15,3,16,54,0,4,44,25,6,13,33,53,7,1,26,17,1,9,5,7,63,2,0,4,4,3,34,14,6,4,11,11,6,882.0,0.17835648148148148,0.17835648148148148,4.178356481481481,202.17835648148147,353.1991898148148,608.1991898148148,623.1991898148148,1093.1991898148149
zx2003,3013,3013,1492839629,1,17,83,25,12,25,114,1,9,133,92,34,36,83,83,12,3,42,50,2,23,15,19,118,5,1,16,23,12,61,36,10,22,43,31,14,851.0,21.162858796296295,21.162858796296295,35.1628587962963,124.45452546296296,155.37119212962963,400.3816087962963,484.329525462963,875.3086921296297
1092515503,3011,3011,1534591895,0,24,96,27,19,34,175,1,16,185,122,43,57,126,102,24,8,46,54,4,42,46,28,220,5,2,31,34,30,84,66,9,22,84,44,24,849.0,312.1273726851852,312.1273726851852,338.1273726851852,529.1273726851852,686.1343171296296,946.0752893518519,1079.1273726851853,1310.0023726851853
aaaaawa,3011,3046,1526474504,0,15,38,8,6,26,90,0,3,66,39,9,25,39,55,6,5,26,30,1,20,6,17,103,0,0,4,19,17,25,37,9,7,56,26,9,465.0,76.0786574074074,191.78699074074075,267.03699074074075,324.95365740740743,927.7661574074074,947.8703240740741,1201.0786574074075,1649.0786574074075
sjcsjcsjc,3011,3011,1599920586,0,10,35,3,0,14,38,0,0,25,11,2,12,26,37,2,1,11,21,2,4,2,4,39,3,0,0,13,2,17,22,5,7,15,6,8,257.0,38.00826388888889,45.00826388888889,45.00826388888889,70.00826388888889,96.00826388888889,109.00826388888889,313.0082638888889,518.0082638888889
arvindf232,3007,3081,1565337448,2,133,382,45,41,189,540,23,39,554,317,122,185,341,529,73,16,298,292,10,100,41,85,711,16,1,30,133,30,336,329,53,82,241,178,79,5393.0,518.2760648148148,518.2760648148148,518.2760648148148,524.2760648148148,590.2239814814815,837.2760648148148,837.2760648148148,1087.2552314814816
yzc2005,3006,3071,1560057233,1,36,97,11,10,57,149,1,11,192,93,30,70,105,130,14,5,52,65,2,43,9,34,183,2,0,10,32,16,78,68,10,24,68,46,27,936.0,139.2438310185185,139.2438310185185,139.2438310185185,249.38966435185185,304.3896643518519,434.3896643518519,479.3896643518519,889.0354976851852
Kubic,3004,3004,1559429666,1,28,90,14,14,32,140,1,10,131,69,16,48,92,104,7,6,38,50,2,36,15,27,149,4,1,12,21,15,58,59,11,15,61,40,25,664.0,226.6531712962963,226.6531712962963,226.6531712962963,273.59761574074076,450.6531712962963,647.5490046296296,791.6531712962963,1056.632337962963
Rubikun,2995,3033,1560094668,0,78,255,43,32,117,390,7,23,307,185,65,133,201,333,32,8,186,153,7,81,15,63,431,12,0,10,85,28,195,244,32,58,170,115,48,3428.0,32.95638888888889,32.95638888888889,37.95638888888889,56.039722222222224,71.9563888888889,190.97722222222222,337.87305555555554,569.9563888888889
whzzt,2995,3025,1459348066,0,4,33,7,5,8,48,1,6,31,16,12,14,25,24,1,1,10,11,2,9,2,8,56,2,0,5,4,6,18,15,11,5,17,18,3,560.0,129.9841898148148,129.9841898148148,170.97030092592593,262.08835648148147,506.02585648148147,553.6925231481481,575.0119675925926,788.0154398148148
