handle,rank,oldRating,newRating
ilyakor,2,2389,2451
PavelKunyavskiy,3,2140,2254
Petr,4,2588,2601
watashi,5,2362,2421
tourist,7,2613,2601
ashmelev,10,2274,2344
sdya,11,2338,2389
niyaznigmatul,12,2190,2279
neal,20,2499,2472
Seyaua,22,2216,2281
UESTC_Nocturne,24,1977,2109
Coder,26,2316,2339
liympanda,31,2259,2293
zaq1xsw2tktk,33,1975,2097
Ra16bit,35,2121,2197
dreamoon_love_AA,37,2027,2133
DamianS,38,1926,2055
mmaxio,40,2139,2200
I-juice,42,2103,2182
eduardische,44,1988,2096
uwi,45,2025,2122
Sergey.Bankevich,49,1880,2009
Edvard,52,1956,2065
Nyatl,53,2007,2101
Connector,55,1846,1977
cmd,58,1988,2083
dancho,70,1851,1969
DPR-pavlin,74,2080,2123
SteamTurbine,77,2154,2158
pkhaustov,91,2032,2079
ch_g,110,1900,1973
VArtem,119,2133,2103
espr1t,122,1849,1925
vitar,129,2099,2071
tmt514,136,2179,2134
hydrastuff,142,1999,2004
poopi,144,2179,2131
EbTech,146,2050,2027
SirShokoladina,159,1923,1940
Kostroma,168,1829,1884
Gassa,184,2201,2135
shilov,189,1759,1809
nk.karpov,190,2064,2022
dinosaurs,192,1676,1744
kuzmichev_dima,201,1874,1877
pimpke,204,1718,1768
enot110,205,1976,1945
sillyboy,212,1782,1807
balakrishnan,213,1941,1913
rminuv372,222,1657,1708
Hohol,223,1761,1785
thocevar,225,1886,1864
slavik,247,1891,1859
oversolver,248,1804,1790
xiaowuc1,253,1963,1920
dalex,255,1744,1747
jonathanirvings,271,1667,1683
zeliboba,273,2197,2119
knightL,275,1836,1806
KrK,283,1893,1853
KungA,302,1686,1677
yarrr,310,1758,1729
caustique,310,1868,1826
---Grigor---,310,1680,1667
MarioYC,327,1862,1817
Timur_Sitdikov,333,1779,1743
reiracofage,351,1965,1902
package.zaic,355,2008,1937
Slamur,356,1701,1668
ItsLastDay,363,1717,1681
Jami_CSEDU,372,1768,1725
imslavko,389,1654,1619
Zool,396,1653,1617
