handle,rank,oldRating,newRating
izban,8,1583,1726
foolish,56,1697,1745
gridnevvvit,78,1696,1732
dr.ken,83,1474,1641
Nikitosh,158,1648,1676
rais.fathin38,177,1516,1625
dusty.and.rusty,179,1618,1658
Nezzar,196,1430,1577
MrDindows,224,1550,1617
guliashvili,240,1575,1618
Flyrise,254,1679,1637
Jimanbanashi,257,1588,1613
ABalobanov,258,1627,1621
Sunnat,277,1447,1556
Enchom,280,1648,1613
akim,296,1622,1602
ItsLastDay,333,1582,1578
SlavaSSU,370,1435,1518
Misha100896,381,1437,1514
problem-solved,397,1661,1602
Taube,407,1585,1547
Um_nik,418,1500,1559
boleyn.su,423,1684,1616
BekzhanKassenov,466,1562,1521
ccdd4211,472,1615,1559
Son,493,1408,1463
proVIDec,578,1568,1511
BSBandme,651,1596,1525
vanogam,716,1458,1413
vitux,734,1444,1400
baqargam,756,1445,1398
Mediocrity,809,1493,1430
Heart_Blue,1009,1538,1452
Cromel,1137,1691,1604
adamant,1152,1354,1287
adurysk,1184,1375,1302
HIR180,1205,1500,1414
