handle,rank,oldRating,newRating
maroonrk,1,3149,3390
Ormlis,2,3148,3336
Um_nik,3,3280,3403
tourist,4,3557,3584
5sb,5,2381,2702
Swistakk,6,2890,3060
jiangly,7,3720,3662
Radewoosh,8,3714,3648
ethening,9,2306,2605
hank55663,10,2926,3047
isaf27,11,3088,3160
ace5,12,2459,2690
ecnerwala,13,3466,3429
ksun48,14,2882,2989
Egor,15,2770,2900
MagicSpark,16,2900,2992
liympanda,19,2435,2637
cnnfls_csy,20,3597,3494
cmll02,21,2914,2981
ElDiablo,23,2257,2497
zjy2008,24,2006,2329
Petr,25,3333,3281
valeriu,26,2388,2579
jqdai0815,27,3395,3321
meowcneil,29,2187,2431
antontrygubO_o,30,2934,2969
talant,31,2493,2640
ko_osaga,32,3240,3193
Noinoiio,33,1996,2295
Tikhon228,35,2446,2597
Linx,39,2168,2394
JeanBombeur,41,2460,2594
HOLlC,43,2315,2487
feeder1,44,2336,2499
k1r1t0,45,2163,2379
yuto1115,46,2830,2858
MagicalFlower,47,3069,3035
dkhve,48,2148,2363
pavlekn,49,2249,2430
hitonanode,52,2578,2661
average_frog_enjoyer,53,2285,2447
KroosTheKeenGlint,53,2720,2764
anpoli99,55,2447,2561
potato167,56,2863,2867
ymmparsa,58,2751,2781
TheQuantiX,60,1967,2229
E869120,61,2798,2811
induk_v_tsiane,61,2347,2479
Sulfox,63,2569,2639
Boboge,64,2162,2348
k1sara,65,2240,2400
wrihapcod,66,2318,2453
Lalic,67,2064,2280
Flamire,68,2385,2499
fengchang,69,2344,2468
Meijer,70,2154,2335
Flandre,72,2303,2436
as_dfsdf,73,2302,2433
gisp_zjz,73,2997,2946
kotatsugame,75,3014,2958
Nika_Tamliani,77,2246,2390
registeretsiger,78,2521,2587
dXqwq,79,2889,2860
StarSilk,80,2649,2679
tute7627,81,2775,2771
Agua_Podrida,81,2362,2467
Kapt,83,2743,2747
jinqihao2026,84,2351,2457
Astolfoo,85,1915,2166
Xylenox,87,2580,2621
EJIC_B_KEDAX,88,2125,2296
Z_i_X,89,2153,2313
Dawnq,91,2368,2462
KDVinit,92,2342,2443
rniya,93,2477,2540
Rafi22,95,2564,2602
Morphymorphymorphy,96,2674,2683
Keshi,97,2638,2656
Pyqe,98,2659,2670
fuppy,99,2399,2477
neal,102,3002,2925
Seyaua,104,2360,2445
DimonKrutoi,105,2122,2279
minhcool,106,2418,2486
psychobot,108,1913,2144
Onolt_kh,109,2240,2356
kobor,111,2360,2440
tinca_matei,114,2143,2286
tatata96,115,2137,2281
t0mmyn,116,2308,2399
shobonvip,117,2217,2334
stasio6,118,2518,2550
physics0523,119,2393,2458
Missyou,120,2088,2244
ub33,121,2277,2373
Leasier,122,2411,2469
Hectonit,123,2019,2197
Weobe,124,2104,2252
244mhq,125,3115,2995
hos.lyric,126,3101,2983
