handle,rank,oldRating,newRating
KhanhHoa_NNTan_1,21,1500,1718
idontwannawin,27,1378,1627
timerjiang,31,1500,1700
Operation27,36,1552,1728
kartel,45,1478,1666
oisdoaiu,59,1409,1609
robivirt,110,1500,1639
fakeMatrixCascade,110,1573,1689
vok8,159,1597,1688
kiomi,172,1595,1683
katyaporay,272,1544,1624
Raiden,286,1578,1645
Golden,293,1502,1591
bntti,293,1477,1574
Y_is_sunshine,311,1535,1610
.-O_O-.,319,1514,1595
yahia,319,1518,1597
Rajdeep,332,1354,1487
DDima,339,1429,1534
Suisei,389,1500,1574
siddhugzp,409,1569,1619
minmise,409,1545,1603
GeoCalibur,418,1446,1534
a.stepanov281005,444,1523,1583
nathanlee726,471,1324,1447
AKJ0811,471,1495,1560
shinigami11,499,1422,1508
fractal,507,1488,1552
ziad_abdelkader,511,1564,1604
EN_SA,511,1458,1530
FelixArg,519,1556,1597
kupriyanov,554,1596,1622
Resende,582,1484,1541
Koosha_Mv,582,1584,1611
some_username,610,1437,1506
goncharovmike,624,1583,1606
Be_dos,634,1574,1599
Kalashnikov,644,1463,1520
VladHaivas0205,663,1514,1554
ujju_sucks,674,1413,1484
mban259,685,1526,1561
Lylova,702,1352,1441
muoshuo,719,1568,1588
kymmykym,719,1462,1513
Theo830,784,1414,1475
Abbess,832,1404,1464
bary,941,1434,1477
Ji_Kuai,993,1369,1430
syl123456,1041,1394,1443
Flower_On_Stone,1103,1577,1570
AmirhosseinAssar,1106,1422,1459
DimaTomsk,1119,1356,1412
SinaSahabi,1193,1311,1378
BabaVoss,1261,1519,1519
BaluconisTima,1268,1308,1371
FairyWinx,1273,1559,1548
Crystally,1300,1557,1545
Mprimus,1311,1444,1462
robotolev,1314,1599,1575
I_love_Michel_Sardou,1327,1568,1551
Jojosus,1344,1500,1501
nprakhar0411,1351,1496,1497
nguyenhoangminh318,1371,1467,1476
emaneru,1386,1420,1441
dapingguo8,1409,1467,1474
magga,1415,1567,1546
m.shreyansh,1634,1348,1378
BenjaR,1742,1503,1484
AlbertoTDNeto,1883,1316,1344
Ahmadsm2005,1988,1308,1334
CallmeChallenger,2022,1270,1306
abhinavvv306,2064,1577,1529
lightseba,2064,1457,1438
Dmi34,2150,1247,1285
Alfeh,2331,1535,1488
topovik,2381,1411,1392
Vectors_Master,2482,1467,1431
chervovn04,2527,1408,1385
lukameladze1,2583,1473,1432
Timur2006,2781,1188,1217
saprykin,2794,1444,1404
pwned,2803,1017,1106
VietCT,2832,1504,1449
juraws,2932,1305,1294
basebillions,2957,1138,1176
MikhailKapitov,3022,1500,1440
Sakuyalove,3092,1500,1438
Mike4235,3138,1206,1215
p3rfect,3145,1400,1358
inder128,3279,1485,1421
mars4,3329,1572,1490
ymmparsa,3393,1493,1424
Renedyn,3434,1102,1130
ivatopuria,3468,1429,1371
BERNARD,3577,1184,1181
quydang,3661,1500,1423
dongdziz,3788,1500,1420
Ertugrul28,3862,1215,1192
FatihSolak,3962,1500,1416
Bazoka13,3982,1328,1275
disastah,4094,1378,1312
polosatic,4129,1224,1189
Kawaii,4157,901,961
Dorost,4295,1193,1158
syrtin,4357,1500,1406
Vin__ar,4663,1408,1321
YCKC_LCJ,4735,1500,1398
yash_daga,4768,1263,1196
Ayalla,4849,990,979
Kizuna_AI,4863,1363,1277
Farsh_LE,5203,1500,1387
__jk__,5367,1500,1369
Stefan2417,5367,1318,1200
UET_VietCT,5367,1500,1369
bobbilyking,5367,1227,1114
UtopianZ,5367,1500,1369
