handle,rank,oldRating,newRating
gmusya,2,1956,2258
Alex_Wei,3,2075,2322
wjli,5,2009,2253
bortoz,6,2051,2274
Dup4,7,2090,2294
crackersamdjam,9,2012,2228
tokitsukaze,17,2037,2217
Ronnie007,18,2090,2251
revpro,26,1984,2160
Eramoni,27,2032,2192
nweeks,30,2094,2231
WYXkk,32,2097,2230
KalasLavas,33,1967,2137
MyK_00L,37,1940,2113
sevlll777,39,1991,2146
fsshakkhor,40,2026,2169
Isaunoya,45,2099,2216
Bruteforceman,47,2042,2173
yaoR,49,1828,2023
Uzumaki_Narutoo,52,2037,2165
Rahul,53,2014,2148
Zain,55,1909,2073
a.nogikh,56,2005,2139
k291061,62,2048,2164
madhav_1999,63,2086,2190
fried-chicken,65,1801,1991
firi.,72,2090,2187
toxic_hack,78,2057,2160
caidzh,79,2079,2175
moonshine,81,1813,1988
bbmirbek,83,1796,1975
GLAYS,85,2062,2158
ChrisT,85,2074,2167
ahoraSoyPeor,87,2044,2145
yan.silva,90,1935,2067
CodigoL,92,2062,2155
AmShZ,93,1907,2046
HCPS42,94,2005,2113
fakeMatrixCascade,98,1905,2042
amanbol,101,2090,2171
fezjo,103,2065,2152
yzc2005,105,2082,2163
Vingying0,106,2027,2123
add10k,109,1966,2079
FelixMP,112,2093,2168
Omar_Elawady,117,1986,2089
I_LOVE_ANTON_DONBASS,120,2020,2112
bogorodniy,124,1748,1922
jjaworska,126,2056,2136
cn449,127,1907,2030
Plurm,129,2083,2154
MateoCV,135,2022,2108
srikkanthr,136,1945,2053
cjj490168650,142,2051,2126
uuzlovetree,143,1922,2034
Missyou,145,1911,2026
Tikhon228,146,1980,2074
GStnt,149,1564,1791
Agnimandur,153,1840,1974
Sugarii,155,2015,2096
cmorax,156,1947,2048
ILLENIUM,158,2037,2111
Lavine,161,1973,2064
goodred,162,1893,2008
kimoyami,173,2077,2135
Prateek,174,1917,2021
jhdonghj112,176,2010,2086
CraniXort,179,1500,1740
Asagami,183,1993,2072
ILoveBitches,186,2059,2119
paulinia,190,1968,2052
Lenstar,192,2071,2126
gyh20,194,2025,2092
Prostoegor239,195,2068,2123
Mahmoud_Haddad,199,1859,1973
Misha100896,204,1847,1964
Kaey,208,1980,2056
rafaelgo,210,2062,2115
Andycipation,214,2042,2099
apostoldaniel854,218,2016,2080
Calculatelove,219,1936,2022
physics0523,220,2091,2133
SUN.LOVE,222,2054,2106
DimmyT,223,1905,1999
humbertoyusta,226,1942,2025
ansisgustavs2,227,1754,1894
YahiaSherif,229,1950,2030
vipghn,231,2085,2127
junosv,233,2092,2131
Dart-Xeyter,236,2030,2086
RockyB,239,1814,1932
compiler_101,241,2027,2082
HollwoQ_Pelw,247,1687,1844
Imenkey,250,1997,2059
Dalenator,254,1945,2021
evildanlapokin,256,2008,2066
gupta_samarth,261,1718,1861
cr8,268,2072,2110
DivQ,270,1912,1994
Linqi05,279,1958,2025
Wind_Eagle,282,2099,2127
Distractions,291,1873,1963
SPatrik,293,2096,2123
Akatsuki_,296,1973,2033
ajit,299,2026,2071
