handle,rank,oldRating,newRating
Egor,2,2722,2760
liympanda,3,2359,2455
FattyPenguin,8,2327,2413
uwi,10,2495,2533
izban,16,2140,2278
Petr,17,2694,2664
tourist,19,3209,3093
marcoskwkm,24,2041,2209
flashmt,26,2234,2329
Apsara,30,2213,2312
SirShokoladina,32,2329,2384
gen,36,2023,2190
DBradac,38,1767,2040
wakaka,41,2136,2254
jqdai0815,42,2117,2242
balakrishnan,45,1971,2153
Arterm,46,2290,2342
dancho,55,2151,2251
Gassa,61,2148,2244
dragoon,62,2128,2232
MrDindows,67,2250,2296
VArtem,68,2367,2358
vilcheuski,71,2013,2161
TankEngineer,74,2485,2414
IvayloS,84,1793,2034
ainta,87,2200,2249
zemen,91,2218,2254
mmaxio,96,2341,2308
sivukhin,98,2166,2221
orzxyz111,103,1839,2050
sas4eka,113,1891,2072
Errichto,114,1977,2114
shef_2318,121,1995,2119
mihaipopa12,124,2105,2170
KrK,126,2056,2145
nfssdq,128,1822,2029
Jami_CSEDU,130,1679,1954
I_love_tigersugar,131,2024,2126
cmd,133,2231,2218
NVAL,135,1947,2087
yummy,138,2053,2135
natsugiri,140,2197,2196
thocevar,141,2063,2137
hex539,145,2222,2202
guliashvili,149,1941,2076
ryz,150,2171,2176
ABalobanov,155,1783,1998
BSBandme,170,2092,2128
dinosaurs,179,1911,2046
oversolver,181,2030,2095
KirillB,185,1935,2053
espr1t,190,2043,2094
lxc,197,2051,2092
Timur_Sitdikov,202,2098,2105
ilyakor,213,2545,2419
fedimser,216,1851,2001
gridnevvvit,221,2002,2058
lxhgww,222,2137,2103
mukel,224,1879,2008
arthur.nascimento,238,1921,2017
andreyv,238,1756,1950
problem-solved,244,1878,1998
RamTararam,245,1580,1861
kmjp,251,2111,2072
Hasan0540,263,1698,1914
Cromel,266,1778,1947
Kianoosh,273,1937,2003
pllk,274,1864,1977
KungA,275,1898,1989
Nikitosh,282,1816,1955
HIR180,295,1759,1927
scorpion,296,2076,2028
varlevani,302,1532,1817
MyLeg,303,1604,1855
Golovanov399,304,1966,1994
SteamTurbine,305,2346,2222
jonathanirvings,307,2053,2015
ksun48,309,2129,2050
Wild_Hamster,319,1909,1969
Slamur,327,1902,1962
Ilya_MSU,330,1837,1940
Valentin_E,334,1614,1849
alex20030190,344,1908,1955
Um_nik,353,1952,1961
I_love_simplespy,367,1567,1815
AlexBurkov,376,1704,1873
saketh,382,1714,1874
eduardische,382,2233,2117
tloinuy,408,2026,1952
rembocoder,408,1727,1869
shilov,424,1830,1893
ufo,429,2004,1932
Mediocrity,444,1683,1839
Misha100896,447,1710,1848
reiracofage,456,1697,1840
hey_boris,468,1614,1804
skrydg,472,1739,1847
k1nval,474,1608,1800
.o.,474,2392,2268
liouzhou_101,509,2192,2070
LHiC,518,1793,1842
adamant,529,1716,1818
FierteDeCeylan,543,1806,1833
Sergey.Bankevich,543,1869,1844
aliasadiiii,554,1708,1806
.I.,568,1578,1756
Phoom,574,1768,1812
NegaTeeF,619,1796,1797
Bobgy,640,1781,1786
ivanilos,644,1649,1756
Ioana,651,1664,1757
Flyrise,667,1725,1765
Enchom,678,1848,1779
Jimanbanashi,678,1914,1825
poopi,734,2147,2025
M.Mahdi,749,1677,1725
proVIDec,758,1729,1730
Nike_VML,768,1770,1730
Nero,772,1912,1812
snuke,790,2233,2110
TsunamiNoLetGo,790,1743,1719
PugachAG,814,1600,1684
watson,823,1757,1706
Rafbill,846,1582,1668
vanogam,846,1563,1663
chenmark,884,1513,1634
nuip,888,1724,1678
Ronnie007,892,1718,1676
baqargam,912,1538,1635
abeker,969,1517,1611
satashun,970,1967,1847
sokian,973,1892,1776
rais.fathin38,994,1722,1648
geniucos,999,1959,1839
SlavaSSU,1056,1812,1707
triveni,1123,1725,1636
Igorjan94,1207,1578,1553
BigBag,1220,1678,1593
_LeMur_,1259,1392,1483
PAP,1287,1664,1576
Birjik,1345,1764,1647
zcg.cs60,1372,2208,2086
sigma425,1413,1708,1599
Lo_R_D,1454,1483,1462
vas.and.tor,1513,1683,1573
pi37,1532,1416,1421
Kaban-5,1537,1876,1757
Sanja,1585,1163,1272
Egor.Lifar,1594,1308,1360
sievra,1770,1649,1532
arknave,1779,1452,1378
SimB4,1906,1550,1444
zhabo,1976,1640,1523
AkshajK,2029,1442,1352
greencis,2036,1518,1411
allllekssssa,2242,1329,1247
Luqman,2384,1335,1243
veschii_nevstrui,2529,1651,1534
