handle,rank,oldRating,newRating
tourist,1,2612,2635
Egor,6,2460,2467
watashi,8,2394,2403
hos.lyric,13,2544,2510
s-quark,16,1500,1681
Burunduk1,19,2478,2440
SteamTurbine,25,2181,2181
rminuv372,32,1878,1957
yarrr,32,1842,1931
I-juice,39,2285,2245
package.zaic,44,1896,1944
buko,50,2205,2166
jki14,52,1500,1658
alexeykuzmin0,61,1674,1787
pkhaustov,65,2019,1994
dancho,66,2133,2092
jskhirtladze,79,1667,1768
SirShokoladina,80,2003,1971
vilcheuski,83,1653,1756
helThazar,140,1733,1756
izban,176,1437,1538
natsugiri,235,1799,1751
Cromel,296,1397,1440
xiaowuc1,333,1765,1702
phtniit,342,1469,1460
