handle,rank,oldRating,newRating
guliashvili,2,1611,1741
morojenoe,14,1655,1753
gridnevvvit,32,1653,1742
Misha100896,65,1645,1722
HIR180,71,1593,1700
marcoskwkm,80,1691,1728
adamant,88,1623,1703
vitux,89,1655,1713
Birjik,91,1363,1571
Enchom,100,1638,1701
AlexBurkov,101,1689,1715
akim,102,1656,1706
Nezzar,136,1663,1689
NegaTeeF,137,1640,1683
MrDindows,145,1681,1688
agul,159,1674,1679
sigma425,182,1605,1651
Akigeor,232,1510,1597
Carups,289,1419,1536
Flyrise,290,1557,1588
SlavaSSU,322,1621,1586
ABalobanov,330,1654,1606
SeyedParsa,330,1659,1609
problem-solved,330,1617,1582
magician_14312,344,1453,1531
satashun,357,1552,1557
Mediocrity,368,1451,1521
Valentin_E,394,1254,1406
NVAL,526,1685,1613
Svyat,606,1364,1403
Kaban-5,693,1530,1469
Xellos,727,1671,1584
vanogam,924,1401,1346
baqargam,993,1372,1319
Sanja,996,1418,1351
Ronnie007,1010,1359,1302
nfssdq,1105,1589,1503
Kianoosh,1130,1219,1174
BekzhanKassenov,1141,1460,1378
zhabo,1158,1150,1112
budalnik,1295,1566,1480
