handle,rank,oldRating,newRating
jqdai0815,1,3211,3333
izban,3,2574,2762
LHiC,4,3010,3067
Radewoosh,5,2668,2797
Egor,6,2744,2841
jcvb,7,2752,2837
Swistakk,8,2606,2721
Um_nik,10,2999,2998
Pepe.Chess,11,2081,2331
zemen,13,2777,2816
mmaxio,15,2563,2649
ifsmirnov,17,2672,2721
irkstepanov,18,2350,2479
Endagorion,21,3020,2966
TonySnark,23,1995,2223
arsijo,25,2447,2530
Errichto,26,2641,2670
Petr,29,3481,3277
TsunamiNoLetGo,29,2270,2390
Taube,32,2315,2417
danilka.pro,33,2411,2485
uwi,34,2457,2516
kalimm,37,2589,2607
Kostroma,46,2548,2562
khsoo01,47,2254,2344
I_love_tigersugar,50,2359,2417
KhaledKEE,53,2134,2252
Reyna,55,2317,2379
kmjp,66,2588,2567
SlavaSSU,69,2008,2146
amsen,72,2049,2170
enot110,73,2456,2461
quailty,74,2405,2422
hloya_ygrt,77,2168,2247
Vladik,78,2171,2248
kdh9949,85,2259,2304
Shayan,86,2048,2152
DPR-pavlin,90,2464,2451
wakaka,93,2142,2212
abeker,100,2039,2134
sokian,100,2323,2337
fhlasek,102,2519,2483
M.Mahdi,102,2315,2330
jcg,104,2034,2127
mrtempo,107,2120,2183
kefaa,107,2204,2243
zeliboba,114,2680,2598
Motarack,114,1989,2089
KrK,116,2248,2271
Gromah,119,2268,2284
Luqman,120,1979,2077
Farhod,123,2050,2124
mibig,125,2053,2124
Golovanov399,128,2271,2278
mkisic,128,1978,2070
Temirulan,133,2373,2352
cjtoribio,133,2104,2154
Wild_Hamster,133,2237,2250
saketh,136,2377,2355
PrashantM,141,2015,2088
perchema,142,2082,2132
eudanip,146,2059,2115
Slamur,146,2056,2113
ZJiaQ,148,2144,2174
Aeon,150,2155,2181
Nikitosh,151,2411,2371
Kaban-5,151,2601,2516
KungA,154,2268,2262
tundra,155,1936,2025
Tima,158,2228,2230
knightL,159,2556,2478
espr1t,159,2218,2222
nuip,163,2367,2331
IlyaLos,163,2494,2428
bicsi,169,2478,2413
Rafbill,172,2272,2254
ilyakor,172,2702,2583
satashun,183,2261,2243
mnaeraxr,187,2227,2215
dreamoon_love_AA,189,2734,2603
chenmark,191,2066,2094
maximumSHOT,191,2218,2206
minimario,193,1938,2002
ngfam_kongu,200,2412,2349
yarrr,200,2089,2105
nhphuongltv,204,1922,1987
kobae964,207,1917,1982
tonyjjw,211,2487,2403
krauch,213,1909,1973
wilcot,216,1936,1989
hamlet,219,1978,2017
Z0RR0,235,1947,1988
akulsareen,238,2247,2207
RamTararam,238,2043,2053
Qwerty132,250,1927,1966
farmerboy,260,1953,1980
Misha100896,270,2050,2046
Carups,274,2184,2146
fedimser,276,2089,2073
cerberus97,279,1904,1937
ToTLeS,285,1965,1977
Nero,288,2322,2249
Bedge,293,1996,1997
ajinkya1p3,299,1908,1930
nigus,301,2143,2105
kostka,308,2038,2022
kulpet345,309,1911,1928
gleb.astashkin,321,2024,2006
Mediocrity,336,2074,2039
xuanquang1999,339,2051,2019
DmitryBelikov,345,2139,2087
Hasan0540,346,2198,2133
Yousef_Salama,353,2107,2059
_LeMur_,354,1906,1904
Lixoskywalker,357,1991,1967
codelegend,360,1961,1942
ksun48,365,2574,2427
TimonKnigge,366,2245,2163
Vercingetorix,366,2684,2514
veschii_nevstrui,366,2113,2058
pvs,366,2237,2157
egor_bb,366,2345,2244
Nezzar,371,2292,2200
chokudai,371,2260,2174
elshiko,376,2021,1980
Superty,376,1944,1920
NVAL,376,2390,2277
cdkrot,383,1931,1907
riantkb,383,1929,1906
SirShokoladina,383,2396,2280
ShadowLight,383,1902,1885
IgorSmirnov,383,1919,1898
Jimanbanashi,390,1965,1932
marcoskwkm,390,2230,2145
Irkutsk_ISRU,394,1936,1906
spencer,394,1942,1911
Roberio,394,2180,2102
.I.,402,2096,2030
AndreySergunin,402,2151,2075
SoMuchDrama,402,2044,1987
RomeoFantastik,402,2127,2055
jklepec,414,2091,2024
buko,414,2316,2208
Egor.Lifar,414,2094,2026
PAP,419,1966,1921
kzoacn,426,2082,2013
diko,435,2198,2106
Alpha_Q,456,1969,1908
niike0goood,459,2084,2004
simonlindholm,459,2463,2318
arknave,464,2041,1966
poikniok,476,1959,1892
awoo,484,2075,1988
ruhan.habib39,499,1914,1841
dantrag,501,2014,1929
SoSad,501,2006,1922
BigBag,505,2479,2323
radoslav11,506,1983,1900
vanogam,508,1982,1898
jtnydv25,510,1948,1859
Leonardo_Blanger,510,2012,1918
