handle,rank,oldRating,newRating
JinnyW,3,892,1490
Zhou_Yuan,7,1455,1814
Xing-GanNing,32,1574,1828
O_ooo_O,35,716,1246
jichanxi,38,0,740
Cattlen,44,1317,1668
andrewtt,46,0,731
Koosa,57,665,1189
_cly_,62,1385,1663
seanlsy,64,1050,1456
citrinitas,100,1014,1408
best_codeforces_user,105,0,692
Sakamata,113,1188,1527
kjhhjki_fan,122,0,685
I_am_Domik,172,1571,1686
loyalixa,225,0,654
Axial-Tilted,425,1595,1657
hshhh_,529,1589,1640
luckyzfy,667,759,1129
Richard1212,1218,1270,1431
TheFuturoma,1233,1249,1415
reiracofage,2085,1547,1533
dog_of_SoloRejudger,17433,830,934
Dukkha,17433,1415,1265
