handle,rank,oldRating,newRating
Petr,1,3135,3257
yosupo,2,2550,2791
uwi,4,2603,2783
Nezzar,5,2489,2689
Um_nik,8,3098,3096
SirShokoladina,9,2787,2861
snuke,11,2579,2698
simonlindholm,12,2479,2621
jcvb,16,2933,2930
Burunduk1,17,2725,2773
jqdai0815,18,3149,3085
natsugiri,20,2539,2627
ngfam_kongu,27,2243,2395
nuip,28,2365,2477
dreamoon_love_AA,33,2710,2714
Endagorion,35,2987,2919
RNS_CUS,36,2304,2414
ko_osaga,37,2625,2643
Merkurev,40,3055,2962
BSBandme,41,2171,2310
DBradac,43,2522,2556
chokudai,46,2178,2304
fruwajacybyk,54,2179,2290
Swistakk,57,2573,2570
xuanquang1999,62,2166,2268
Benq,65,2419,2445
paulwang,68,2117,2225
Radewoosh,69,3017,2894
pashka,69,2686,2639
dusty.and.rusty,71,1961,2117
hey_boris,73,2120,2220
buko,83,2098,2192
Motarack,91,2226,2273
cerberus97,99,2076,2159
kmjp,101,2680,2605
kulpet345,102,1979,2090
zhsh,105,2102,2171
chenmark,111,2152,2200
chemthan,112,2173,2213
PrashantM,114,2075,2143
KrK,119,2585,2517
Alpha_Q,121,1911,2026
knightL,122,2534,2476
Toxel,124,1918,2027
urusant,131,2074,2127
boleyn.su,134,2170,2193
tmt514,138,2527,2459
ilyakor,143,2737,2620
Arterm,149,2452,2394
Kostroma,155,2554,2469
jki14,157,2049,2088
jonathanpaulson,158,2191,2190
SoiMae,163,2096,2117
amsen,165,2104,2121
DmitryBelikov,172,2073,2093
izban,172,2679,2558
romanasa,176,2072,2090
Shayan,177,2498,2413
krismaz,178,2688,2562
sigma425,180,2533,2439
I_love_tigersugar,190,2547,2444
teja349,193,2027,2045
wilcot,194,1967,2002
Roberio,196,2018,2037
cdkrot,197,2014,2033
tloinuy,198,2239,2201
doubility,202,2305,2249
raoxj,204,1999,2017
EbTech,206,2183,2153
tfg,209,2030,2036
mredigonda,215,1993,2005
Hasan0540,218,2164,2132
vanvector,219,1927,1955
I_love_Hoang_Yen,221,2411,2322
nigus,226,2066,2052
ReaLNero,227,1904,1933
danya090699,229,1994,1996
sokian,234,2405,2311
slycelote,237,2238,2178
kostka,238,2140,2101
STommydx,238,1926,1940
TimonKnigge,240,2402,2306
dragoon,241,2330,2249
Jimanbanashi,242,2108,2075
Jhamra,243,1959,1961
RamTararam,244,1969,1967
Splashing,247,1914,1926
Mustang98,248,2009,1995
Valentin_E,250,1947,1947
fetetriste,256,2196,2136
mrtempo,258,2203,2140
espr1t,259,1982,1968
ajinkya1p3,260,2001,1981
milisav,263,1972,1957
SendThemToHell,268,2107,2058
.o.,273,2718,2547
Reyna,275,2593,2445
kzyKT,277,1937,1921
gop2024,280,2017,1980
KhaledKEE,282,2197,2123
iamexist,284,2016,1976
gleb.astashkin,288,1955,1926
krauch,290,1972,1939
-is-this-fft-,293,2038,1989
Anadi,304,2177,2095
yyyyyyffffff,304,1994,1946
Jakube,307,2027,1971
ToTLeS,308,2201,2114
abhishek_saini,315,2113,2036
JATC,315,1936,1890
Sakura,315,2297,2189
collares,324,2105,2026
ifsmirnov,325,2687,2505
snacache,331,1936,1879
SoSad,339,2036,1959
Noureldin,340,1987,1911
Markellonchik,347,1934,1848
spencer,347,2263,2140
mkisic,347,2057,1960
