handle,rank,oldRating,newRating
Sert,3,1671,1765
nfssdq,8,1609,1738
Oryshych,11,1662,1758
skrydg,28,1458,1658
gridnevvvit,40,1681,1748
Nezzar,47,1455,1650
gilcu3,49,1604,1717
NegaTeeF,56,1675,1738
IgorL,57,1693,1742
Arti1990,69,1655,1724
Algiz,73,1586,1699
sivukhin,81,1693,1728
BekzhanKassenov,102,1571,1681
sweetsc,189,1688,1667
problem-solved,194,1603,1648
Igorjan94,209,1514,1615
SlavaSSU,214,1543,1622
rais.fathin38,224,1477,1594
satashun,237,1466,1585
urusant,256,1675,1633
FierteDeCeylan,297,1640,1604
SeyedParsa,297,1619,1602
magician_14312,323,1605,1588
zhabo,358,1341,1484
yokozuna57,410,1315,1454
sokian,457,1609,1555
Sugardorj,572,1543,1493
RamTararam,604,1462,1450
saikrishna17394,604,1533,1481
Svyat,604,1529,1479
Mediocrity,833,1592,1503
Kianoosh,871,1410,1360
farmerboy,871,1457,1396
SimB4,898,1310,1302
M.Mahdi,1007,1398,1337
Kerpoo,1214,1412,1331
jki14,1344,1636,1546
budalnik,1403,1480,1392
PAP,1473,1412,1324
