handle,rank,oldRating,newRating
PavelKunyavskiy,1,2392,2507
Egor,4,2656,2679
gawry,4,2282,2367
SteamTurbine,8,2250,2329
pperm,11,2132,2231
niyaznigmatul,12,2211,2292
Petr,13,2781,2736
mmaxio,15,2168,2254
uwi,19,2206,2278
dreamoon_love_AA,23,2203,2269
liouzhou_101,24,2281,2326
Endagorion,29,2202,2260
UESTC_Nocturne,31,2277,2311
rminuv372,35,1838,1978
ryz,37,2005,2105
KAN,39,2271,2293
Edvard,46,2210,2241
wwwwodddd,47,2207,2237
alexey.enkov,55,2051,2120
oversolver,57,2040,2110
fhlasek,59,2259,2253
pkhaustov,61,1955,2045
boleyn.su,67,1938,2027
KrK,76,2077,2114
Ruslan,79,1899,1989
Hohol,81,2073,2105
el_sanchez,84,1877,1968
Golovanov399,89,1934,2005
ngfam_kongu,91,2063,2089
natsugiri,100,1844,1931
hos.lyric,105,2558,2459
enot110,106,2139,2116
ksun48,113,1892,1955
Timur_Sitdikov,115,1932,1980
cjtoribio,120,1963,1995
dancho,120,1922,1969
For_the_Love,126,1828,1899
ifsmirnov,130,2191,2137
Slamur,138,1787,1860
shef_2318,141,1816,1879
VladGavrila,141,2285,2213
MarioYC,148,1929,1948
balakrishnan,157,1834,1879
aropan,158,2143,2086
MrDindows,169,1727,1793
ItsLastDay,174,1799,1842
akashin,176,1933,1926
KungA,195,1801,1828
dusty.and.rusty,196,1805,1829
Xellos,199,1714,1763
forest,202,2053,1996
KirillB,213,1875,1861
knightL,214,1966,1920
lavin,225,1965,1918
caustique,233,1847,1828
reiracofage,234,1908,1865
Misha100896,248,1722,1735
shilov,256,1815,1791
Arterm,256,1900,1852
Timur_Keks,259,1914,1863
Sergey.Bankevich,268,1876,1829
I-juice,278,2136,2047
AlexBurkov,285,1715,1706
BSBandme,295,1736,1713
gen,311,1901,1840
agul,320,1763,1719
Enchom,322,1701,1671
IgorL,331,1736,1693
mukel,347,1895,1828
Oryshych,348,1705,1662
Arti1990,357,1700,1655
fedimser,365,1774,1719
Nikitosh,367,1713,1664
zaq1xsw2tktk,370,1951,1871
sillyboy,372,1968,1886
sivukhin,387,1750,1693
iscsi,403,1765,1704
Sert,410,1730,1671
gridnevvvit,413,1742,1681
marcoskwkm,421,1728,1666
