handle,rank,oldRating,newRating
tourist,1,3670,3739
jqdai0815,2,3171,3282
ilyakor,4,2595,2805
ainta,5,2952,3051
Petr,7,3454,3400
mmaxio,9,2560,2728
izban,11,2762,2860
JoeyWheeler,12,2912,2965
Merkurev,13,2628,2752
zeliboba,16,2722,2807
sdya,18,2626,2729
dreamoon_love_AA,20,2597,2701
natsugiri,23,2547,2655
egor_bb,27,2244,2427
Radewoosh,28,2699,2753
xllend3,29,2474,2587
Coder,30,2625,2694
jcvb,32,2906,2897
NVAL,33,2355,2491
arsijo,34,2310,2457
Egor,37,2918,2897
Um_nik,38,3000,2957
geniucos,39,2675,2712
M.Mahdi,40,2302,2439
kmjp,43,2553,2616
Errichto,44,2563,2622
Endagorion,45,2946,2905
Marcin_smu,49,2850,2828
LHiC,55,3084,2997
Kostroma,57,2561,2600
enot110,61,2709,2706
VArtem,63,2763,2745
tmt514,64,2368,2451
uwi,65,2546,2580
MrDindows,69,2545,2576
qwerty787788,70,2552,2580
kondranin,72,2165,2294
ko_osaga,74,2578,2595
fhlasek,76,2475,2517
KrK,77,2372,2440
Sakura,78,2183,2301
diko,79,1959,2138
Sert,80,2313,2394
.o.,81,2505,2534
Alexandr_TS,83,2187,2299
yosupo,84,2729,2699
Arterm,85,2529,2548
zemen,86,2747,2711
-imc-,87,2386,2441
Kaban-5,88,2453,2489
AndreySergunin,89,2270,2354
Trumen,91,2402,2449
poopi,95,2405,2448
mnaeraxr,96,2343,2401
sokian,97,2358,2412
Gassa,102,2477,2496
ifsmirnov,104,2605,2590
Seyaua,109,2301,2360
xiaowuc1,112,2352,2396
abeker,114,2171,2261
lavin,115,2228,2302
eudanip,117,2137,2234
Swistakk,118,2757,2696
budalnik,121,2483,2487
Shayan,122,1956,2099
I_love_Hoang_Yen,123,2398,2422
TimonKnigge,125,2126,2220
Vercingetorix,126,2417,2435
kzoacn,128,2039,2155
bmerry,129,2845,2757
niyaznigmatul,131,2644,2602
Lo_R_D,134,2025,2141
PMichalak,135,1977,2105
DBradac,139,2567,2540
Benq,140,2180,2251
Rafbill,158,2449,2440
hohomu,163,2174,2233
