handle,rank,oldRating,newRating
Tekor,4,1421,1694
krasav4ik,7,1866,1972
DashaGnedko,22,1556,1698
Solnechniy_kray,27,1721,1803
real.emerald,29,1568,1691
alegsandyr,34,1500,1639
s20b1_chernikov,41,1670,1746
nnv-nick,51,1519,1631
Kotoblepass,72,1757,1780
egneeS,97,1357,1489
GrishaIvanenko,109,1370,1490
phyzzmat,123,1622,1654
antoshkin,128,1667,1685
74TrAkToR,146,1526,1577
Astronomax,156,1437,1512
JUSSIAR,186,1319,1424
Kotehok3,192,1251,1380
EgorShibaev,251,1463,1499
impermanence,263,1690,1661
gruntov_dima,267,1065,1245
alex.kudryashov,280,1220,1332
Mirbek,293,1713,1672
pepelats,335,1499,1504
andr1y,343,1452,1469
abdu.srazh,368,1415,1437
Ashot_27,435,1368,1391
Igor_2017,453,1195,1273
kiomi,491,1451,1440
ilya.kligunov,498,1481,1461
bogorodniy,516,1397,1396
sevlll777,521,1364,1372
ilaburkov,530,1378,1381
DIvanCode,541,1636,1574
achvanov,594,1359,1355
Mr.Robot_28,631,1362,1352
buyolitsez,668,1065,1145
rama798,673,1486,1439
valerikk,691,1374,1351
Ooops_no,724,1217,1232
Olerinskiy,806,1374,1332
Pazio,973,1208,1177
Galebickosikasa,1000,1464,1380
Dmi34,1017,1500,1409
ligaydima,1118,1433,1339
Abbess,1141,1396,1284
