handle,rank,oldRating,newRating
Anachor,6,1729,1948
szb,12,1587,1821
Svlad_Cjelli,18,1615,1819
Markellonchik,23,1796,1930
BitHashTech,31,1803,1920
scopeInfinity,35,1854,1950
mahmoudbadawy,36,1848,1944
awoo,49,1884,1954
Dmitriy.Belichenko,52,1658,1794
Lixoskywalker,66,1834,1904
SlavaSSU,77,1895,1940
ugly2333,89,1821,1879
Dopahkiin,93,1841,1892
hank55663,95,1838,1888
PuRpLe_FoReVeR,113,1661,1754
lessmeaning,130,1734,1796
paulinia,145,1733,1790
Stiff_Subset,154,1610,1701
lebowski998,157,1751,1798
iakovlev.zakhar,165,1829,1852
csegura,193,1830,1844
Ekler,207,1649,1710
Mamedov,213,1885,1879
Tutis,221,1617,1673
babin,222,1646,1704
Nson,240,1713,1747
Kilani,242,1673,1718
Stelutzu,261,1737,1759
keko37,275,1793,1797
munteanuvlad98,279,1343,1486
pedroteosousa,316,1767,1769
jarakcyc,316,1844,1826
CSHwang,321,1539,1605
UnstoppableChillMachine,337,1677,1700
lis,337,1785,1779
lrvideckis,372,1442,1529
Onjo,378,1775,1764
ImaniAm,392,1416,1507
Qwertenx,407,1520,1576
MakArtKar,412,1611,1639
andreumat,437,1749,1736
Ahmed-,439,1695,1695
mban259,448,1368,1465
snacache,475,1892,1839
Moon1125666900,479,1591,1614
VladProg,501,1496,1543
xoxo,601,1687,1668
mohamedeltair,608,1705,1681
Kallaseldor,622,1594,1597
chenjb,654,1845,1784
Democy,676,1475,1505
IceKnight1093,685,1513,1531
brimix__,686,1676,1651
reedef,688,1569,1571
apostoldaniel854,692,1442,1479
serg3000,774,1398,1439
Alexxx,796,1677,1641
Ferume,802,1445,1468
sievra,824,1779,1717
ZiyaZa,826,1735,1683
ioane_kapanadze,849,1229,1316
Aleks5d,858,1195,1293
TooNewbie,862,1590,1568
FelixMP,885,1712,1659
ssor96,890,1870,1783
IF_IR_A_1_IR,895,1469,1475
Bartol,910,1468,1473
Sorting,924,1482,1481
Wielomian,970,1857,1767
posij118,993,1424,1432
armoking,1003,1552,1527
kobus,1028,1350,1376
andrew,1096,1464,1452
Osama_Alkhodairy,1101,1461,1449
lsantire,1151,1824,1728
lukamosiashvili,1225,1413,1403
DimmyT,1313,1163,1219
Zain,1359,1627,1558
SecondThread,1441,1446,1410
kzvd4729,1464,1308,1304
bktl1love,1474,1133,1181
realcomplex,1552,1308,1295
DarkKeks,1558,1647,1560
Dalenator,1570,1056,1117
Noam527,1603,1406,1364
Dalgerok,1656,1533,1461
VLamarca,1676,1608,1520
Rafaelcs,1741,1243,1227
amanbol,1813,1086,1107
status_coding,1888,1030,1060
AboAbdoMC,1973,1297,1248
0icq,1999,1244,1204
LUV,2045,1187,1156
cute_hater,2074,1313,1253
TravellingSalesman,2157,1342,1270
Uzumaki_Narutoo,2277,1108,1066
Monazo1997,2316,1441,1319
prins,2316,1295,1184
