handle,rank,oldRating,newRating
dreamoon_love_AA,2,2711,2887
Um_nik,5,2992,3032
Rafbill,8,2486,2632
budalnik,10,2296,2479
Anadi,12,2322,2484
yfzcsc,15,2165,2357
J.T.J.L.,16,2267,2424
Radewoosh,22,3148,3053
Swistakk,24,2652,2675
shb123,27,2226,2355
Kaban-5,30,2490,2539
jtnydv25,31,1933,2149
Wild_Hamster,32,2208,2329
natsugiri,35,2679,2668
irkstepanov,36,2181,2301
oipotato,39,2041,2199
cjtoribio,42,2202,2303
Endagorion,47,2777,2720
kalimm,48,2238,2318
ainta,51,2711,2665
ksun48,52,2788,2721
Ilya_MSU,54,2280,2339
radoslav11,57,2205,2281
Nero,58,2550,2534
BigBag,59,2290,2340
never_giveup,60,2337,2371
abeker,62,2247,2304
wakaka,66,2296,2335
junie,68,2034,2148
SirShokoladina,73,2804,2709
VladaMG98,75,2103,2186
cxaphoenix,79,2200,2250
zeliboba,86,2701,2618
kmjp,88,2570,2517
Aeon,90,2043,2129
Luqman,91,2052,2134
mmaxio,92,2742,2644
nigus,96,2160,2205
M.Mahdi,97,2396,2378
RamTararam,98,2185,2221
chenjb,100,2063,2133
AndreySergunin,102,2367,2352
DraZxlNDdt,102,2063,2130
ivan100sic,105,2348,2336
Egor.Lifar,106,2124,2169
Amayoneko,106,2086,2143
BitHashTech,109,1920,2029
Barichek,110,2030,2101
mnaeraxr,112,2375,2351
Vercingetorix,125,2612,2522
gop2024,131,2100,2133
Klungs,133,2032,2084
adamant,139,2072,2107
chenmark,142,2085,2114
Orenji.Sora,144,2284,2259
allllekssssa,144,1926,2002
raoxj,150,2052,2085
MrDindows,152,2472,2399
Jatana,155,2092,2111
YerzhanU,158,2149,2150
cthbst,159,2031,2064
spencer,160,2326,2283
Benq,162,2589,2484
ABalobanov,163,2243,2218
codelegend,164,1977,2023
sas4eka,170,2070,2085
Jimanbanashi,173,2080,2090
flashmt,177,2252,2217
Gassa,180,2354,2294
Alpha_Q,184,2079,2083
Motarack,186,2357,2293
vanogam,189,2040,2051
SoMuchDrama,190,2102,2096
square1001,196,2125,2111
Hasan0540,204,2161,2134
zx2003,206,1983,1999
DLUT_Zeratul,211,1907,1943
LCM,214,2081,2067
nothing100,215,2240,2189
Taube,215,2349,2274
Toxel,220,2017,2016
krauch,223,2170,2131
Ronnie007,226,2168,2128
rembocoder,242,2349,2261
Splashing,242,2024,2006
woqja125,249,2223,2160
Tutis,249,2005,1990
IgorAkhmetov,261,2150,2095
hohomu,266,2135,2082
cz_xuyixuan,266,1939,1930
Alexandr_TS,268,2126,2074
Tima,268,2449,2332
hitman623,271,1916,1910
ugly2333,273,2089,2043
AminAnvari,275,1902,1894
Aidos,281,2444,2324
yashChandnani,292,1914,1896
nong,293,1955,1926
Svlad_Cjelli,295,2135,2069
fmqjpt,298,1929,1903
GT_18,307,1916,1887
xuanquang1999,312,2260,2165
brandonzhang,318,1953,1909
lebowski998,321,2035,1975
yyyyyyffffff,338,2100,2021
riantkb,341,2162,2072
cerberus97,345,2073,1995
Bruteforceman,349,2126,2038
_Ash__,350,1928,1868
STommydx,358,1940,1872
nhphuongltv,369,2067,1970
ItsLastDay,369,2314,2186
Ali.Kh,369,2163,2055
