handle,rank,oldRating,newRating
rainboy,4,2023,2274
simasimarisa,6,2003,2271
DimmyT,9,1989,2205
tabr,10,2047,2240
iceyisdashing,15,1913,2127
zajtrk,19,2050,2246
muhammadhasan01,23,1935,2121
Omer223,26,1818,2036
DanielixS,30,2034,2179
gigabuffoon,31,2091,2216
joaom,36,1919,2090
RED_INSIDE,40,2034,2165
gs17005,44,1939,2093
Noureldin,53,2049,2161
Vladithur,54,2096,2194
StarInShadow,65,2079,2173
Charbel,66,2079,2172
sohsoh,78,1760,1943
oscar1f_will_win_IOI2024,80,2061,2150
Wall_breaker,85,1726,1915
cheissmart2,87,848,1379
ChaosAngel,89,2078,2157
kyo20111,93,1935,2053
SomethingNew,103,1845,1986
HCPS42,106,2073,2145
CraniXort,115,1812,1957
Doludu123,117,1769,1926
Robsob,126,1765,1919
Igor_Parfenov,133,2006,2085
dusty.and.rusty,135,2011,2088
Scorpioch,138,1780,1925
parsa333111,141,2050,2114
lwn_16,144,2093,2144
ligaydima,145,2028,2096
serotonin,145,2063,2122
StandNotAlone,147,1874,1987
Zain,151,1962,2047
Rainer1116,154,1853,2025
S2speed,158,1930,2022
goncharovmike,159,1890,1994
madlad,160,2082,2131
syl123456,161,2050,2107
gangpenwang,168,2062,2114
huangzirui,173,1781,1914
Flamire,180,1823,1941
Suisei,182,1797,1922
TeaTime,186,2021,2079
Sofapuden,186,1814,1933
marton.antoni,192,1690,1846
LebronDurant,200,2086,2123
N_hara,204,1983,2047
Owmicron,204,1896,1985
HighDxDSchool,210,1921,2001
Shaad7,223,2031,2077
nprakhar0411,240,1944,2010
killer_god,243,2035,2075
Everule,246,2024,2067
Qwerty1232,257,1943,2007
BenjaR,258,1926,1994
PizzaLovers007,262,2030,2069
Jael,272,1882,1960
Sol1,272,2054,2084
testing_123,272,2087,2108
Turkey,276,2002,2045
bleh0.5,278,1967,2020
AquaBlaze,290,2046,2074
lebeg,290,2056,2082
jhknmj,295,1122,1509
Nanored,297,1958,2009
0-jij-0,297,2086,2102
Kon567889,304,1886,1957
SuperJ6,307,1935,1991
jerdno,310,1877,1949
DylanSmith,316,1858,1935
ibrahim001,323,1797,1890
Meeena,325,0,721
DJeniUp,331,1779,1875
abisheka,340,2094,2101
Kaey,343,2097,2103
F-Mu,346,1867,1936
ahshafi,370,2036,2055
emaneru,371,1999,2027
heyuhhh,375,1889,1946
mkawa2,375,2024,2044
abhinavvv306,392,1974,2005
AcPlusOne,407,1902,1951
pill,418,2077,2078
eidan,421,2083,2082
amano_hina,427,1153,1508
brkdnmz,430,1794,1871
Golden,442,1879,1930
Gheal,449,1739,1830
WeakestTopology,452,1634,1757
Rip_robot,452,1871,1923
AmShZ,457,2081,2076
andreumat,460,2063,2062
Clownpiece,481,2006,2018
shinbay,481,2011,2022
zggf,499,1734,1820
kevinyang,508,1686,1786
maomao90,510,0,691
GStnt,510,1845,1897
qpwoeirut,515,2018,2023
.-O_O-.,533,1998,2007
siddhugzp,534,1891,1928
bary,534,1818,1875
AST_TheCoder,542,1878,1918
Infinity25,542,2056,2049
loK10,550,1903,1935
Mirbek,558,1825,1878
Rehappy,561,1846,1892
gunwo_okim,573,1749,1822
bpdolson,579,2031,2026
Wibo,598,2060,2046
shdut0901,602,1940,1957
verngutz,607,1848,1890
mr_swashbuckler,607,1962,1972
bufftowel,611,1997,1998
ziad_abdelkader,611,1904,1929
Karabutsa,615,1914,1937
EzikBro,618,1286,1506
ZADaCHI,618,1929,1947
Roll_Num_56,634,1786,1842
yuanyuan1024,641,1816,1863
limabeans,647,1802,1853
hotman78,650,1712,1788
Newtech66,661,1840,1879
StrawHatWess,672,1625,1726
Lam_lai_cuoc_doi,694,0,669
vrooooom,703,1855,1886
arbuzick,712,1883,1906
Rvess,721,2086,2056
snacache,721,2012,2000
2020akadaver,742,1777,1827
smax,744,1942,1946
yash_daga,749,1927,1935
Temmie,749,1699,1771
Tatsuyaaaa,752,1849,1878
_Enigma__,774,2023,2005
Mboker0109,783,1876,1895
prvocislo,785,1885,1901
Abbess,790,1906,1916
Calculationlove,812,2023,2002
mexomerf,812,1805,1841
egge,822,1979,1968
Dmi34,835,1747,1798
chen_zexing,840,1857,1877
queria.ser.arthur,844,1141,1457
Dremix10,844,1790,1827
nghethuat102,844,1567,1670
4qqqq,853,1944,1940
Zars19,854,1842,1865
chinerist,870,1956,1948
Wonsei,881,1440,1633
123thunderbuddie,887,1680,1746
pakhomovee,894,2003,1982
dakshgarg,901,1690,1752
jasen_2005,907,1828,1850
armish_123_retired,942,1571,1665
Java,958,1826,1845
691,958,2036,2002
real.emerald,968,1930,1922
swapnil159,970,2091,2043
lotato,999,1549,1646
Theo830,999,2069,2025
Shirley_lf,1002,1817,1836
golions,1025,1897,1894
-messi-,1028,2010,1979
Rafi22,1034,1858,1864
Y_is_sunshine,1034,1900,1896
vsinitsynav,1039,1772,1801
Flower_On_Stone,1072,2057,2012
timav,1097,1948,1928
pac-man21,1103,1849,1853
ArminAzimi,1108,1685,1734
Ruki,1119,1951,1929
jeff_qi,1131,1949,1927
romi_sahari,1131,1969,1942
AhmetKaan,1131,1933,1914
p3rfect,1169,1886,1878
Justice_Hui,1186,1722,1756
CHHC,1189,1932,1911
QieziMin,1192,2012,1971
apgpsoop,1195,1521,1613
Ramzel,1201,1573,1649
PhanDinhKhoi,1216,1969,1937
Nelson_loh,1233,1946,1919
luciocf,1254,1796,1806
MetalPower,1268,1711,1743
minhnguyenxuan60,1277,1496,1590
HeIIoWorId,1322,2021,1972
minmise,1386,1975,1934
Alfeh,1389,1726,1748
EJOI_Gold,1396,1508,1592
rickbaishuak,1415,1530,1606
basebillions,1428,1664,1701
Dallby,1434,1644,1686
shiven,1449,1740,1755
SliferSkyd,1451,1693,1720
psruk,1461,1605,1657
Jami_CSEDU,1485,1944,1906
fractal,1519,1793,1791
AhmedEzzatG,1539,2031,1970
David-M,1542,2059,1991
Drice,1577,1863,1841
shuzhongxin,1596,1502,1577
gruntov_dima,1609,1747,1753
plourde27,1612,1930,1890
Fysty,1613,1836,1818
jakao,1623,1888,1857
prins,1633,2026,1963
penguinman,1645,1995,1939
erekle,1648,1970,1919
I3J03RN,1657,1934,1891
Alx,1657,1843,1822
Astrea,1657,2031,1966
EN_SA,1661,1683,1703
StickBuerak,1667,1356,1569
Vince729,1673,1758,1795
flamestorm,1677,1526,1590
yahia,1680,1523,1588
anmichi,1685,1819,1803
DashaGnedko,1694,1637,1668
kzyKT,1697,2064,1990
Thallium54,1697,1829,1810
potatmen,1703,2001,1941
UnstoppableMathMachine,1730,2039,1969
Pandemic,1735,1909,1869
kshitij_sodani,1740,2021,1954
HadyKo,1744,1940,1892
smtcoder,1749,1861,1832
csegura,1764,2062,1985
curly_braces,1772,2055,1980
Naseem17,1776,2066,1988
Vin__ar,1776,1628,1658
IMRUN,1788,1931,1883
Ooops_no,1803,1721,1725
Astronomax,1805,2044,1971
Farhan132,1809,1818,1797
AKJ0811,1816,1931,1883
Uzumaki_Narutoo,1819,2096,2011
Hello_zoka,1825,2032,1960
ilia-ivanov,1844,1724,1725
mars4,1862,1883,1844
libobil,1872,1713,1716
Jorge213,1879,1997,1931
ScarletS,1879,1911,1865
mban259,1907,1910,1863
erray,1920,1782,1765
fairy_lettuce,1929,1611,1676
Drew_,1951,1571,1609
Mprimus,1967,1786,1767
I_love_Michel_Sardou,1979,1851,1816
lsantire,1999,2070,1984
bernardo_amorim,2010,1846,1811
Piccolo,2028,2084,1994
Ji_Kuai,2028,1876,1833
smjleo,2035,1763,1747
VivekUchiha,2044,1876,1833
kiomi,2069,1730,1722
Undying,2076,1605,1629
Kalashnikov,2088,1867,1824
bogorodniy,2094,1882,1835
M1v1savva,2104,2018,1940
pikel_rik,2104,1900,1849
GreenHanHan,2120,1528,1572
Wandoka,2179,1804,1773
chill_coder,2226,1963,1894
cjj490168650,2231,2040,1954
Tzak,2235,1799,1768
lorenzoferrari,2252,1539,1575
michao,2262,2073,1979
Kinon,2291,1815,1778
status_coding,2318,1870,1819
ujju_sucks,2318,2039,1950
andrei_boaca,2318,1766,1740
MAKMED1337,2335,1472,1524
m.shreyansh,2363,1850,1802
ChenKaifeng,2417,1585,1602
misorin,2473,618,1002
Overstep,2504,0,568
KDVinit,2513,1660,1654
Prateek,2539,1886,1825
Micchon,2551,1779,1743
_Rise,2561,1475,1518
Valters07,2632,1904,1836
Killer250104,2668,1393,1456
sare,2740,1598,1602
Luca,2794,1713,1686
timreizin,2804,1762,1722
huikang,2813,1717,1688
t98slider,2872,1389,1446
Bedoo,2872,2036,1934
Priyansh31dec,2908,1587,1588
Mc3X,2940,1620,1611
b6e0,2940,1479,1508
idontreallyknow,2960,1985,1892
codicon,2960,1711,1680
Resende,2960,1848,1784
eggag32,2960,1848,1784
nooooob_KiFaH_HeLaL,2976,1461,1494
GALA,3010,1418,1462
fahimcp495,3081,1475,1501
DanTheMan.,3081,1522,1535
Ztin,3113,1761,1714
Irmuun.Ch,3360,1621,1601
mr.kolya,3386,1643,1617
shadow9236,3398,1599,1583
eepsilon,3414,1632,1608
FelixArg,3426,1901,1815
rishit3234,3475,1476,1490
JvThunder,3491,1612,1591
izhang,3491,1429,1456
towrist,3553,1730,1679
vladislav11,3640,1505,1507
Raiden,3660,1750,1692
Ahmadsm2005,3676,1833,1757
Piokemon,3753,1268,1335
kartel,3765,1782,1715
_RED__,3787,1518,1513
Giga_Cronos,3883,1417,1437
umezo,3997,1571,1548
MahmoudAshour,4095,1317,1359
Lacheck,4136,1569,1544
reiracofage,4136,1835,1749
abhidot,4155,1525,1510
warner1129,4239,1785,1707
dsolunov,4427,1532,1509
Dorost,4427,1649,1598
vdv09,4448,1776,1696
Vitaly503,4490,1592,1554
iterater,4738,1591,1547
BaluconisTima,4846,1745,1665
DarkestNightmare,5004,2039,1898
lunchbox,5074,1600,1548
tonyli00000,5133,2049,1905
UshanGhosh,5225,1419,1407
thisIsMorningstar,5301,1029,1133
CaMOUFlage,5320,1391,1385
ivatopuria,5421,1445,1423
Ayalla,5455,1361,1360
rabbitsthecat,5545,1234,1266
_rey,5594,1650,1578
panda211panda,5766,1689,1605
De-Bug,5781,1469,1435
turkhuu622,5808,1064,1205
vok8,5813,1687,1603
islingr,5813,1655,1578
lookcook,5854,1708,1619
Error-42,5956,1542,1487
Valera_Grinenko,5991,1668,1585
HollwoQ_Pelw,6098,1864,1740
Kira_1234,6137,1738,1638
priyanshu_x,6154,1067,1200
Soumya1,6219,1314,1309
ast123,6246,477,806
ahmad_alghadban,6295,1463,1421
1024mb,6334,1589,1518
Yomapeed,6510,1521,1462
CIXTEEN,6604,1426,1387
XaRDKoDblCH,6813,1034,1099
syrtin,7068,1431,1383
kkite_gk,7332,1536,1460
iamnifer,7354,1480,1416
JYJin,7354,0,459
moo.,7654,1327,1293
bobbilyking,7718,1816,1681
mafailure,7718,1592,1499
Stefan2417,7945,1442,1377
SlavicG,8030,1106,1122
LeavingZ,8130,1246,1307
wyzwyz,8159,1448,1379
P500,8208,0,446
_martynas,8415,1307,1264
MvKaio,9184,1408,1332
czhang2718,9229,1321,1262
Jarif_Rahman,9366,1310,1252
p__ce1052,9647,1381,1302
Rayo,9647,1162,1130
binap,10040,516,775
DilshodbekX,11323,1644,1501
qilby,12307,375,629
k1r1t0,12356,0,389
mily,12772,1089,1015
DeMen100ns,12962,1335,1222
VenomInVein,12962,391,634
hata_saa,13157,1627,1470
Arnch,13414,418,651
Dukkha,13777,1712,1532
