handle,rank,oldRating,newRating
Benq,1,3642,3746
maroonrk,2,3441,3539
tourist,3,3748,3729
Elegia,5,2949,3095
yosupo,6,3080,3182
Radewoosh,7,3574,3538
ksun48,8,3470,3452
jiangly,10,3468,3433
gop2024,13,3019,3076
Subconscious,14,2734,2854
orzdevinwang,15,2642,2780
SSRS_,18,3085,3102
JettyOller,19,2733,2832
Amoo_Safar,20,2809,2886
gisp_zjz,22,3177,3156
Ormlis,23,2709,2801
ugly2333,24,3106,3096
Tlatoani,26,2822,2877
KostasKostil,27,2710,2790
dario2994,30,2871,2904
Endagorion,31,3313,3231
tabr,32,2429,2570
egor_bb,36,2530,2636
icecuber,38,2824,2852
Egor.Lifar,39,2777,2815
budalnik,40,2824,2849
dreamoon_love_AA,41,2689,2746
dorijanlendvaj,42,2711,2761
Dormi,45,2471,2577
PinkieRabbit,46,2743,2778
sjcsjcsjc,47,2384,2511
hank55663,48,2771,2796
Ali.Kh,49,2575,2649
Laurie,50,2293,2476
RobeZH,51,2643,2696
ShadowLight,52,2622,2680
Jatana,53,2662,2708
risujiroh,54,2805,2814
BigBag,55,2703,2736
yuto1115,57,2511,2591
Yousef_Salama,58,2526,2601
Andycipation,59,2446,2540
Ra16bit,60,2557,2621
tatyam,61,2767,2777
Savior-of-Cross,62,2708,2732
UnstoppableChillMachine,63,2419,2516
cxaphoenix,64,2249,2391
Rhodoks,68,2331,2446
TripleM5da,69,2399,2495
fanache99,73,2564,2613
saba2000,79,2443,2518
never_giveup,80,2838,2812
blyat,81,2328,2432
N.N_2004,83,2184,2326
Golovanov399,86,2950,2891
nweeks,88,2302,2407
sys.,90,2103,2263
penguinman,92,2537,2577
sstrong,93,2458,2518
Melania,95,2157,2333
alireza_kaviani,96,2593,2616
emorgan,98,2587,2610
RanRankeainie,99,1827,2062
Tima,102,2284,2384
sansen,103,2626,2635
mip182,105,2390,2459
demoralizer,106,2458,2508
leaf1415,107,2456,2506
Rubikun,108,2658,2656
kizen,109,2498,2536
Nachia,110,2577,2594
Adam_GS,111,2038,2202
Potassium,112,2522,2552
AliShahali1382,113,2704,2687
BurnedChicken,114,2666,2658
Alex_Wei,115,2422,2476
Igorbunov,116,2235,2339
Karuna,117,2381,2445
Seyaua,118,2359,2428
kyo20111,120,2188,2302
SorahISA,120,2210,2318
awoo,125,2664,2650
Kaey,127,2324,2397
aryanc403,128,2259,2349
golikovnik,129,2348,2413
mtw,130,2293,2373
liuhengxi,131,2179,2290
Bakry,132,2239,2332
scli_weapon,133,2433,2474
MofK,134,2686,2663
rainboy,135,1948,2123
tkacper,136,2225,2320
add10k,137,2359,2417
natsugiri,138,2735,2697
AmShZ,138,2479,2505
Siberian,141,2489,2511
Mustang98,144,2271,2349
maspy,145,1858,2117
Ronnie007,146,2270,2348
nuip,148,2623,2608
Mangooste,149,2364,2415
BurnoutAg7,150,2187,2285
Farhod,150,2594,2585
wery0,152,2259,2337
chenyanbo,153,2541,2544
schtamas,154,2350,2402
MysteryGuy2,155,1994,2145
Kite_kuma,157,2203,2294
FlameDragon,158,2215,2302
Antimony,161,2400,2436
ghj1222,163,2361,2406
axs7384,164,2265,2335
talant,167,2399,2433
tute7627,169,2662,2629
IsaacMoris,170,2152,2251
