handle,rank,oldRating,newRating
stefanbalaz2,502,1955,1927
He_Ren,504,1997,1960
risujiroh,505,2530,2392
Fype,506,1983,1948
HIT_Zero,516,1992,1951
aviroop123,520,2121,2054
z7z_Eta,525,1948,1913
Rafaelcs,526,2031,1979
aaaaawa,527,1906,1879
Rutvik_Kothari,528,1998,1952
wasa855,530,2014,1964
Dart-Xeyter,531,1958,1918
impermanence,531,1911,1881
Meijer,541,1992,1942
bbmirbek,542,1971,1925
2qbingxuan,543,2022,1966
vanvector,544,1988,1938
wery0,545,2010,1955
tuihuademing2,546,1922,1884
Flavius,548,1933,1891
Arpa,551,2313,2206
hocky,552,1997,1942
ajinkya1p3,554,2136,2057
Sutaner,555,2210,2119
LordVoIdebug,561,2118,2040
WaterColor2037,565,2148,2064
Ant_Man,570,2190,2098
Nutella3000,570,2129,2046
KeNaj712,570,2075,2000
dlwocks31,573,2030,1962
jjang36524,574,2025,1957
Superty,574,2189,2096
Okazaki_Yumemi,577,1922,1869
ttklwxx,585,1944,1884
Akatsuki_,591,2216,2115
QwertyPi,595,2030,1953
Potassium,595,2048,1968
DeD_TihoN,595,2106,2018
xiaowuc1,600,2027,1949
.I.,602,2308,2191
madlad,603,1997,1922
YouKn0wWho,606,2020,1941
scli_weapon,606,2050,1967
Hasan0540,608,2191,2089
HanaYukii,609,2148,2052
Mahdi_Hajibeygi,609,2138,2043
satashun,613,2416,2279
Nakagawa.Kanon,615,2164,2064
icpc_loser,615,2033,1949
realcomplex,617,2075,1986
YaKon4ick,621,2341,2214
Piccolo,625,2102,2007
upobir,626,2338,2211
natofp,629,2127,2028
fetetriste,630,2094,1999
SPatrik,631,2195,2087
flpt0x,633,2007,1920
Kerim.K,636,2359,2227
TheFallenOne,638,2114,2011
wangziji,638,2042,1946
ChuyenHungYen,638,2112,2009
NikaraBika,638,2281,2158
ub33,638,2020,1926
