handle,rank,oldRating,newRating
M.Mahdi,10,1683,1778
magician_14312,112,1601,1715
triveni,118,1577,1707
vanogam,165,1667,1703
PugachAG,229,1611,1670
BigBag,246,1549,1653
zhabo,282,1685,1650
Tima,439,1560,1584
monkey.master,447,1436,1557
TonySnark,579,1500,1593
Carups,605,1596,1541
kalimm,957,1383,1396
baqargam,988,1627,1532
sievra,1101,1532,1451
vas.and.tor,1203,1613,1518
_LeMur_,1222,1484,1406
k1nval,1330,1674,1579
Egor.Lifar,1334,1626,1531
AkaiLemon,1344,1691,1596
.I.,1365,1570,1476
chenmark,1391,1573,1479
SimB4,1391,1497,1404
Sanja,1677,1339,1262
vintage_Vlad_Makeev,1872,1490,1397
kzyKT,2003,1372,1280
