handle,rank,oldRating,newRating
hzr,2,2066,2298
Ame-wiki,10,0,872
_RED__,16,2016,2170
Cegax,20,2015,2159
mihleonid,20,1944,2109
armish_123_retired,23,1993,2138
preet_25,24,2057,2182
Alan_Zhao,26,2070,2187
tuxiaoxiao,27,1715,1996
TurboPiKachu,28,1930,2084
Fyind,30,1988,2123
bin9638,34,2084,2181
Alcabel,34,2038,2148
Rafaelcs,38,1935,2073
OctaneC8H18,42,1957,2082
gohan123,42,1962,2086
Giga_Cronos,46,1912,2047
j.w,50,2063,2149
minhnhatnoe,52,1867,2009
emeev,54,925,1442
PaperCloud,60,1977,2080
brianhsu7476,67,1019,1492
kolomig0r,67,1809,1955
45muillaht,74,1953,2051
dkhve,74,1963,2058
panda211panda,77,1749,1907
Chime,79,2002,2083
RP-1,79,1923,2027
Halyavka,85,2049,2113
FeTieTer,90,1892,1998
Soumya1,94,2010,2080
Xc4l16r3,96,1920,2015
cxm1024,104,1870,1975
VolkovMA,105,2019,2080
placik,105,1814,1934
ghoul932,108,1915,2003
espr1t,108,1960,2036
alexchist,108,2024,2082
Pedestrian1,112,1990,2057
RestingRajarshi,113,2072,2115
zuno,113,1710,1858
Dremix10,116,1857,1959
konb1,119,1775,1901
Jonas01234500,121,1950,2023
Morisz10,123,1749,1880
zzpcd,123,2073,2111
08kevin,127,1896,1983
MahiruShiina,128,1980,2042
Stefan2417,128,2053,2094
Wandoka,128,1944,2016
gs17005,132,2061,2100
Mtaylor,133,2035,2079
MridulAhi,138,2071,2105
TravellingSalesman,139,1720,1853
qualdoom,142,1992,2045
nmbb,145,1853,1944
nitss9,149,2044,2080
Mahmoud_Haddad,149,2043,2079
0-jij-0,149,1962,2020
fahimcp495,153,1913,1983
culver0412,163,1980,2029
SZMSZBH,163,1726,1848
LovelyEther,175,1855,1934
DAleksa,175,1740,1853
ezraft,186,1657,1793
DimonKrutoi,186,2029,2058
s_jaskaran_s,186,1931,1986
youhuo,189,1611,1815
martinius,193,1670,1799
Owmicron,193,1878,1946
Kirkon,193,1748,1854
KazmetreD,199,1920,1976
ac2u,200,1684,1807
AcPlusOne,200,1725,1835
trainerherp,200,1908,1965
loK10,207,1762,1859
HIT_Zero,207,1920,1972
_Lingyin,207,1809,1892
mafailure,214,1790,1878
Alice_Synthesis,218,2063,2074
Tobo,218,1636,1769
Su_Zipei,228,1802,1883
momoyuu,232,1794,1877
ItamarNir,234,1801,1880
Hile_Meow,234,1947,1985
gigajet,234,1751,1845
raztun,234,1870,1929
Penguin07,241,1796,1875
tanus_era,241,1807,1883
dungdq,241,2088,2087
YazanAlattar,256,1922,1963
Bedoo,256,1989,2011
Sokol080808,260,1702,1804
status_coding,265,1976,2000
The_Hallak,265,2001,2019
CReaper1116,271,1910,1951
just_a_Hanpi,274,0,693
psychobot,274,1852,1908
aManwithaVan,274,1824,1888
kwm_t,274,1949,1978
PenPineappleApplePen,280,2031,2037
HwSh,286,1969,1990
brenner1,286,1794,1864
sharaelong,286,2097,2085
thisIsMorningstar,296,1785,1856
DanielChang,301,1902,1940
Weobe,307,1878,1921
zjq123,314,1797,1861
John_zyj,314,1953,1974
thisisis,314,2077,2066
rajat376,322,1577,1704
1075508020060209tc,322,1705,1794
TranBaoDuy,330,1476,1693
XDEv11,337,1683,1776
eepsilon,342,1965,1978
4qqqq,342,1835,1883
russian_proger,342,1814,1867
Gwen,342,1903,1932
ArSarapkin,352,1552,1682
Max_Calincu,356,1777,1839
satyam343,356,2021,2018
LofiGirl,370,1690,1775
csegura,370,1814,1863
shevnin_d,370,1899,1925
Lurtruoso,377,1710,1789
KseniaShk,377,1979,1983
yahia,383,1805,1854
r57shell,383,2017,2010
qq11123334,393,1875,1904
fast_photon,393,1956,1964
curly_braces,400,1943,1953
dyktr_06,416,1675,1756
LeoSama,416,2014,2003
NKheyuxiang,428,1697,1807
Andrei_ierdnA,428,1640,1731
srikkanthr,428,1910,1925
FEDIKUS,436,2061,2036
KIRIJIJI,450,884,1284
Hectonit,456,1726,1788
sdyakonov,475,1901,1912
Anhdung147,482,1792,1833
ibrahim001,487,1910,1918
lotusblume,487,1866,1885
Gergyg,493,1598,1692
yunetive29,493,1212,1430
QAQqqqqqq,493,1905,1914
YYYLLL2021,493,2097,2057
robotolev,500,1910,1916
__jk__,500,2069,2036
fangahawk,500,1778,1820
DeMen100ns,500,1869,1887
Doru,507,1853,1874
chuchu,507,2072,2038
TJ_Andeviking,513,1688,1753
JYJin,513,1998,1980
martins,523,1938,1934
wnmrmr,523,1967,1956
Kankei_Nai,533,2042,2011
Warma_Cute,541,1827,1851
hata_saa,546,1546,1649
zlxFTH,553,1671,1736
ruhan.habib39,553,2045,2012
quanjun,553,1821,1845
nifeshe,564,1650,1720
NemanjaSo2005,564,1946,1937
ahshafi,569,1821,1843
