handle,rank,oldRating,newRating
tourist,1,2635,2661
PavelKunyavskiy,3,2260,2344
Petr,4,2622,2628
Egor,8,2467,2490
espr1t,14,2023,2155
dreamoon_love_AA,15,2292,2343
UESTC_Nocturne,19,2058,2174
vitar,22,2100,2199
aropan,29,2108,2195
watashi,31,2403,2376
flashmt,35,2140,2207
uwi,41,2038,2136
ir5,49,2001,2102
fhlasek,52,2131,2178
pperm,60,2188,2196
Gassa,67,2291,2256
Ra16bit,82,2097,2119
Igor_Kudryashov,83,1942,2026
nk.karpov,85,2022,2078
caustique,92,1898,1987
lavin,96,1943,2015
VladGavrila,98,2044,2075
dancho,99,2092,2094
mukel,119,2025,2043
kuzmichev_dima,127,1916,1967
el_sanchez,136,1737,1831
oversolver,144,1833,1896
mrtempo,158,1785,1851
alexey.enkov,163,2007,1986
balakrishnan,182,1832,1865
Endagorion,183,2075,2032
sillyboy,185,1888,1899
zaq1xsw2tktk,189,2097,2048
MarioYC,193,1838,1861
SirShokoladina,202,1971,1941
yarrr,209,1931,1906
hpfdf,210,2058,2011
ll931110,211,2234,2156
akashin,213,1849,1853
thocevar,229,1952,1917
zeliboba,234,2122,2056
reiracofage,243,1867,1842
vilcheuski,247,1756,1766
Kostroma,250,1843,1820
helThazar,250,1756,1764
I-juice,256,2245,2167
---Grigor---,268,1706,1718
Hohol,273,1912,1872
agul,309,1767,1738
cmd,329,2171,2093
freak93,330,1967,1907
package.zaic,342,1944,1885
jki14,343,1658,1636
jonathanirvings,353,1784,1744
KungA,356,1756,1719
sas4eka,379,1689,1655
dalex,384,1882,1824
jskhirtladze,389,1768,1723
rminuv372,392,1957,1887
natsugiri,395,1751,1707
