handle,rank,oldRating,newRating
I_love_simplespy,16,1873,2011
agul,20,1866,1995
ruhan.habib39,41,1659,1818
radoslav11,45,1854,1948
Roberio,48,1869,1955
abisheka,50,1795,1901
sslotin,58,1690,1821
ajinkya1p3,60,1817,1907
zhabo,67,1732,1842
cxaphoenix,70,1797,1886
Jhamra,71,1669,1796
Noureldin,83,1823,1895
snacache,84,1829,1899
VastoLorde95,99,1811,1878
mredigonda,101,1728,1818
hloya_ygrt,106,1753,1833
kefaa,115,1874,1915
tundra,140,1793,1846
Kerim.K,156,1529,1659
Created_equal,193,1427,1579
BitHashTech,201,1672,1740
Ahmad_Elsagheer,225,1859,1869
OMG_wc,265,1603,1676
LCM,266,1837,1843
Vladik,280,1898,1886
SAeed,284,1650,1704
krauch,297,1667,1714
nigus,305,1813,1818
vanvector,308,1890,1874
markysha,322,1763,1777
Farhod,322,1742,1762
Arpa,325,1812,1812
mkisic,331,1690,1723
xuanquang1999,334,1792,1795
mahmoudbadawy,334,1636,1682
bruno.iljazovic,352,1753,1764
RedStone,352,1582,1642
_LeMur_,365,1583,1639
areke,365,1742,1753
-is-this-fft-,380,1861,1839
Lixoskywalker,397,1668,1695
Alpha_Q,407,1529,1594
Zain,407,1628,1664
FalseMirror,436,1388,1495
nhphuongltv,436,1779,1769
ysxxj2,453,1741,1738
Leonardo_Blanger,471,1745,1739
Wielomian,491,1550,1596
junie,519,1600,1627
Mamedov,536,1866,1822
fsshakkhor,558,1516,1561
AcPlusOne,603,1313,1419
Barichek,628,1507,1547
fezjo,650,1500,1540
pedrohlf,794,1432,1476
kulpet345,812,1525,1540
Shayan,829,1777,1728
ToTLeS,840,1770,1721
programmer228,856,1527,1537
gleb.astashkin,877,1879,1803
lebeg,909,1502,1514
jaguar1996,983,1356,1404
Ferume,1020,1543,1534
GustavoMG,1020,1551,1540
ZiyaZa,1039,1263,1337
TianyiChen,1039,1632,1600
ssor96,1125,1582,1555
Onjo,1144,1290,1344
SandTea,1144,1703,1647
Daniar,1179,1647,1601
JustInCase,1219,1584,1550
Anachor,1244,1500,1484
ethening,1279,1583,1545
Juve45,1316,1713,1644
sievra,1439,1529,1492
rek,1612,1418,1397
Ekler,1827,1500,1445
DarkKeks,1845,1296,1288
vntshh,1918,1430,1384
Mucosolvan,2040,1500,1432
zhed,2179,1524,1444
Pajaraja,2181,1500,1424
DmitryBelikov,2308,1826,1691
almogwald,2469,1520,1424
JoJo,2469,1326,1261
.o.,2883,1054,960
Kilani,2883,1172,1072
kupriyanov,2883,1419,1302
