handle,rank,oldRating,newRating
liuq901,2,1500,1679
xneby,9,1500,1677
cjtoribio,15,1636,1705
NVAL,89,1451,1595
morojenoe,109,1372,1543
Slamur,117,1645,1651
Cromel,149,1440,1567
Ilya_MSU,160,1429,1557
hex539,179,1500,1611
spencer,190,1500,1606
dusty.and.rusty,209,1500,1599
phtniit,233,1460,1545
Yousef_Salama,280,1623,1587
ItsLastDay,300,1504,1533
zerotrac,349,1546,1523
bardek,692,1500,1455
Algiz,758,1500,1448
Birjik,764,1335,1305
Flyrise,815,1526,1455
ynq1242,880,1388,1337
elshiko,1054,1500,1429
gridnevvvit,1075,1500,1429
