handle,rank,oldRating,newRating
Silver187,12,0,781
xtq_cys258,12,902,1415
HomuraAkemi,16,886,1399
1champgwen,22,0,761
aManwithaVan,30,1574,1769
brobat,39,1536,1732
Ertugrul28,50,1540,1719
ukisko,56,1333,1629
Jiao_Xie,64,1516,1689
jaehyunp312,70,0,704
sammyuri,86,1379,1634
ssamt,87,1023,1414
Furion,101,1341,1636
mc._cari,107,1561,1695
buidangnguyen05,114,1552,1684
mircea_007,119,1408,1583
L3ungj,139,1599,1707
tch1cherin,168,1598,1696
hyman00,211,1452,1582
WongChun1234,228,1451,1641
vtb,231,0,646
NK_,233,1296,1473
The_Hallak,243,1521,1623
immix,253,1283,1493
MtSaka,269,1287,1460
great_fortune,299,1552,1635
127.0.0.1,301,1558,1638
m_rd,384,979,1285
Mr_yqz,424,1453,1582
Scalm,449,1521,1592
alvingogo,462,849,1204
wuxingzhi,481,1116,1365
DJQ,505,1331,1454
qualdoom,607,1382,1479
The-Winner,694,1156,1373
Eddard,735,1425,1497
despair_101,739,1553,1588
quanlt206,743,1071,1264
Tinky-Winky,766,1567,1597
dimss,767,1347,1441
Phantom_Performer,808,1384,1464
Jackcao,815,1355,1443
RakibJoy,842,1417,1484
Namine,883,1588,1605
Huan_YP2002,905,1354,1502
Penguin07,913,1317,1465
tiom4eg,917,1450,1502
Tsovak,917,1520,1552
ExpectoPatronum,917,1497,1536
trainerherp,917,1560,1582
besukohu,924,1506,1542
peteza,960,1405,1468
systy,970,1484,1523
IacobTudor,1006,1437,1488
hata_saa,1015,1409,1467
Mathematiker,1089,1573,1582
jerzyk,1109,1515,1538
Java,1136,1572,1578
OG_Matveychick1,1185,1391,1446
Sinocchi,1229,446,861
piyush_pransukhka,1401,1383,1430
misaka18931,1436,1579,1571
zltzlt,1469,1422,1514
JustNik77,1525,1569,1560
CyberCow,1550,1497,1506
Riblji_Keksic,1550,1502,1509
onetap,1576,1257,1335
induk_v_tsiane,1607,1422,1449
monologue,1632,1471,1483
thisIsMorningstar,1685,1563,1549
LoboLobo,1728,1578,1560
Warma_Cute,1792,1440,1455
kolomig0r,1792,1226,1305
khangai11,1875,1350,1387
Genius_dream,1875,1480,1481
MohamedAliSaidane,1897,1353,1389
Wizard_of_Orz,1921,1549,1531
Beevo,2022,1509,1499
turkhuu622,2040,1520,1506
anton_h,2069,1338,1372
elizazh,2087,0,526
psychobot,2113,1173,1257
Aging1986,2137,658,982
Duck_sajin,2158,1516,1500
placik,2198,1445,1446
windva,2215,790,1070
XaRDKoDblCH,2252,1391,1405
marvinthang,2303,431,811
Gzhibovsciy_Arseniy,2303,1276,1321
Plums,2350,1414,1419
Rodionno,2419,1374,1388
DarknessCatcher,2561,1395,1400
BRABABABABASHKIR,2585,1394,1398
Max_Calincu,2671,1379,1385
Mohammad-Parsa,2671,1175,1241
sumon123,2695,1233,1280
Clan328,2734,1413,1408
18o3,2734,1480,1458
Nazar,2778,1446,1432
FBI,2839,1155,1222
geospiza,2882,1431,1418
VolkovMA,3108,1181,1268
Palbudir,3298,1288,1365
qwexd,3310,1266,1288
Shirotsume,3386,892,1116
volochai,3429,1344,1342
manizare,3454,1223,1254
AsukaSaito,3490,1288,1299
DimonKrutoi,3568,1351,1344
ayush_raj.21,3568,1243,1265
Madboly,3781,1218,1242
Zeardoe,3872,973,1130
mark,3888,1104,1161
Ryougi-Shiki,3905,713,972
SmolBrain,3914,1415,1385
Dukkha,3932,1447,1409
yyyz04,3950,1560,1496
meowcneil,3953,1379,1356
LOL_I_AM_SERZH,3983,1038,1167
Leasier,4006,1510,1456
Morley,4094,1481,1432
KazmetreD,4109,1070,1133
Yahia_Emara,4150,989,1078
876pol,4289,1463,1415
LiveDreamer,4321,1230,1276
BernatP,4345,1569,1535
Kahou,4489,1188,1207
jliu12,4567,0,473
a999999,4637,1575,1496
Chelovek9,4688,1250,1247
makrav,4739,946,1093
zdc123456,4779,507,814
quanshr,4779,1590,1506
Fish_and_Chips,5083,913,1063
antoniomsah,5141,1170,1181
chenjunxiu,5141,647,900
thabumi,5436,357,689
Aiburito,5436,1345,1306
Wael_Zaiback,5521,1184,1184
Tuanlinh123,5580,864,965
FzArK,5768,962,1088
amcbn,5925,0,453
k1r1t0,6109,887,1027
dengziyue,6109,1386,1328
evenvalue,6205,1448,1376
cry,6205,926,1045
_bLIC_,6341,1270,1236
honey,6956,692,906
Hectonit,7059,1100,1097
lmqzzz,7158,0,438
gqf123,7158,1170,1148
mily,7293,1266,1220
leeminhduc2,7443,1139,1121
ORzyzRO,7541,1362,1292
kh0i,7743,618,838
Omar_Mohammad,8014,928,960
Psiuk_Yurii,8084,1186,1147
fryingduc,8475,357,648
Eliaster,8706,1204,1153
hiennoob,8735,1168,1125
amirhoseinfar1385,8924,357,642
Piokemon,9207,1144,1100
berr,9270,942,984
rtckyw_,9647,990,1041
mknayam,9829,1131,1081
123abda,9989,453,708
ParsaDox,10340,0,404
edogawa_something,11223,906,887
jay_jayjay,11332,0,394
monster_hunter,11738,378,629
Rayo,13552,1138,1042
camc,13587,1279,1163
iNNNo,13587,1020,1019
luicosas,13817,1034,950
NoneBound,15803,0,357
little_aurora,16272,1547,1706
DennisTran,16272,0,693
