handle,rank,oldRating,newRating
mff,1,1688,1779
MyLeg,25,1674,1767
abisheka,34,1401,1655
ch_egor,50,1659,1755
Arpa,78,1694,1753
AminAnvari,114,1534,1698
nhphuongltv,137,1680,1730
vovuh,166,1678,1720
LeCaRiBoU,179,1602,1701
BitHashTech,246,1658,1690
ajinkya1p3,305,1656,1671
_LeMur_,381,1668,1648
Shayan,385,1518,1625
jvmusin,397,1497,1616
kissgergely,440,1620,1627
nasadigital,634,1649,1596
Zoli9,671,1498,1551
ivdim1999,690,1477,1542
codelegend,710,1431,1525
radoslav11,714,1617,1567
chemthan,839,1523,1514
mredigonda,843,1666,1593
awoo,863,1425,1491
nigus,899,1676,1596
kzoacn,945,1698,1616
Daniar,970,1373,1453
Ahmad_Elsagheer,1003,1411,1457
almogwald,1264,1604,1523
krauch,1423,1287,1333
Jatana,1520,1500,1450
kupriyanov,1811,1500,1419
fsshakkhor,1811,978,973
ruhan.habib39,1811,1261,1197
markysha,1811,1235,1175
