handle,rank,oldRating,newRating
woxihuanni,1,1500,1744
jki14,32,1695,1763
skrydg,73,1578,1710
NegaTeeF,83,1552,1696
Akigeor,99,1694,1727
SeyedParsa,106,1666,1718
BLIZZARD,116,1594,1696
HIR180,130,1558,1680
temich,141,1648,1697
Aidos,375,1588,1585
nuip,459,1500,1594
vas.and.tor,485,1326,1468
Kianoosh,528,1541,1520
Carups,629,1337,1433
SimB4,698,1475,1452
Svyat,716,1613,1536
vanogam,788,1314,1378
baqargam,815,1282,1355
Birjik,890,1525,1456
nfssdq,925,1549,1470
SlavaSSU,946,1566,1481
zhabo,1043,1335,1310
yokozuna57,1090,1318,1290
PrashantM,1567,1495,1406
Hasan0540,1583,1411,1322
PAP,1583,1266,1189
