handle,rank,oldRating,newRating
ngfam_kongu,2,2294,2383
I_love_Hoang_Yen,2,2498,2587
ilyakor,4,2512,2506
Petr,4,3109,3103
jcvb,5,2693,2720
jqdai0815,6,2923,2903
dreamoon_love_AA,7,2590,2632
uwi,11,2505,2552
Marcin_smu,13,2603,2627
.o.,14,2461,2507
saketh,17,2224,2181
Radewoosh,18,2122,2235
DamianS,22,2294,2308
Gassa,23,2206,2277
Nezzar,24,2222,2306
Egor,26,2733,2691
natsugiri,30,2423,2450
josdas,31,1963,2097
MrDindows,32,2312,2364
zemen,36,2595,2561
krismaz,39,2270,2323
Hasan0540,41,1899,2039
Errichto,42,2510,2489
eudanip,45,2247,2276
ZJiaQ,46,2080,2163
knightL,48,2374,2374
alex20030190,50,2187,2218
Andreikkaa,53,1947,2066
adurysk,54,2234,2245
yummy,55,2283,2239
ksun48,55,2419,2375
adamant,56,1986,2093
ItsLastDay,57,2023,2120
arthur.nascimento,59,2312,2273
KungA,63,2292,2283
Nikitosh,64,2354,2344
BekzhanKassenov,65,1899,2020
Edvard,67,2282,2291
akim,69,1999,2091
Egor.Lifar,72,1863,1929
SeyedParsa,74,2103,2124
PAP,74,2019,2040
BSBandme,75,2312,2300
el_sanchez,76,2211,2232
akulsareen,77,2148,2188
kalimm,78,2287,2279
M.Mahdi,79,2275,2270
vilcheuski,80,1982,2069
StarCuriosity,81,2124,2167
azukun,82,2046,2112
SteamTurbine,83,2385,2340
NVAL,85,1848,1966
FizzyDavid,86,1935,2008
a.piasta,94,1867,1973
kondranin,97,1834,1946
vas.and.tor,112,1853,1950
Temirulan,117,2317,2264
TonySnark,125,1820,1916
pllk,133,1983,2022
weiszago,142,2072,2071
chenmark,148,2119,2080
vintage_Vlad_Makeev,152,1730,1830
boleyn.su,155,2177,2129
Orenji.Sora,157,1696,1730
IgorL,163,1911,1950
maximumSHOT,169,1778,1855
abeker,175,1920,1913
Mamedov,184,1612,1719
Glance,196,1932,1936
Xellos,199,2418,2322
balakrishnan,201,2091,2040
chemthan,201,1702,1778
AbstractKangaroo,203,1739,1696
mxh1999,203,1981,1938
Misha100896,204,2024,1984
xuanquang1999,219,1867,1878
khsoo01,222,1754,1802
Reyna,227,2026,1977
.tx,229,1787,1820
VastoLorde95,230,1922,1886
lnsuyn,234,2192,2118
skrydg,234,2255,2172
arsijo,237,1767,1801
nfssdq,237,2141,2067
nhphuongltv,240,2041,1987
PalmPTSJ,252,1901,1874
Rafbill,258,2050,1990
SlavaSSU,258,1731,1763
Jimanbanashi,269,2365,2268
RNS_CUS,269,2187,2105
AndreySergunin,279,2176,2093
Svyat,292,1862,1822
Lo_R_D,294,1802,1785
komendart,298,2009,1945
RamTararam,302,1915,1864
Sammarize,303,2147,2063
Irkutsk_ISRU,318,1813,1775
Arpa,345,1636,1584
ajinkya1p3,351,1739,1709
Vladik,360,1787,1741
minimario,377,1971,1897
poikniok,379,1899,1834
fruwajacybyk,402,2332,2235
nigus,402,1668,1632
BitHashTech,402,1722,1659
KhaledKEE,402,1678,1615
triveni,422,1917,1823
solonkovda,425,1851,1769
scanhex,425,1975,1881
laablckdae,425,1735,1667
