handle,rank,oldRating,newRating
nathan_higgs,1,1765,2162
purupurupururin,2,2041,2286
Hong_Meiling,4,1951,2191
Nika_Tamliani,5,2071,2265
I_am_Domik,6,1866,2115
__baozii__,8,2036,2219
Wizard_of_Orz,9,2007,2193
Tang__Tang,10,2005,2187
_user_,11,2003,2181
4dalols,12,2055,2214
Popyk_Andrey,13,2091,2236
hakaishin_3181,15,1923,2111
Nika533,16,2078,2214
AKSLEGION,16,2018,2171
kl0989e,19,1942,2113
HusseinFarhat,20,2017,2163
Max-324,22,1949,2111
bro_jie,24,2098,2212
yahia,25,2093,2207
xfxcy,26,1822,2076
StefanSebez,27,1987,2128
Lezy233,28,1921,2080
Sgdd,29,1933,2085
AkiLotus,29,1908,2067
PeRuaDangYeu,31,1903,2062
MonchIkPonch,32,1967,2105
fight_for_NoConstructive,33,1911,2100
yishangtanhuan,35,1989,2152
EnDeRBeaT,36,2076,2177
ooscode,37,2085,2182
soumilbansal0005,39,2060,2162
Mr_Ell,40,1987,2109
towrist,41,1959,2088
koukanni,42,1986,2106
sai-17,44,2040,2142
cmbddl,47,2068,2159
Trentium,48,2082,2168
Bahamin,49,2007,2113
rob00,51,2061,2150
Nullptrs,52,2090,2170
pera2008,54,2063,2147
Final_Track,54,2071,2152
ScottChou,57,2041,2130
Alexxx,58,2092,2165
biximo,58,2092,2165
Eslam_Saleh,63,2063,2141
njustbacon,64,1943,2054
CaveNightingale,64,2043,2125
I_HATE_GEOMETRY,68,1978,2076
ASahib,70,2046,2124
hashman,75,2054,2126
Pekiban,76,2068,2134
KALARRY,76,2053,2123
dmkz,84,1892,2005
kh0i,85,2025,2099
wshcl,88,2077,2135
pecksniff,89,2038,2106
fryingduc,91,2073,2130
notSayeef,91,2052,2115
yukihasui439,93,2043,2107
best_codeforces_user,95,1908,2009
oqmsac,98,1900,2003
arman_ferdous,99,2068,2122
tloinuy,101,1987,2063
SoReMore,101,1937,2027
AhmetKaan,104,2021,2085
GeoCalibur,107,1917,2010
Joey_W,109,1932,2020
Issa,110,2064,2114
Ayalla,111,2018,2081
Divine_Spark,112,2019,2080
zhangeb,115,1934,2018
XDEv11,115,2074,2119
Hasan0540,119,2064,2110
H-R-2004,120,1874,1974
xly_tyty,122,1773,1902
ruhan.habib39,124,1888,1982
Ztin,125,1853,1956
