handle,rank,oldRating,newRating
Egor,11,2579,2577
dreamoon_love_AA,14,2283,2339
Golovanov399,16,1841,1994
eduardische,19,2195,2264
PavelKunyavskiy,21,2180,2250
hpfdf,23,2091,2180
ainta,26,1918,2046
wwwwodddd,30,1713,1878
UESTC_Nocturne,31,2258,2291
liouzhou_101,35,1963,2072
uwi,38,2261,2281
SteamTurbine,45,2291,2289
pperm,47,2224,2241
liympanda,53,2390,2343
zaq1xsw2tktk,58,1969,2054
dalex,59,1847,1964
DamianS,69,2221,2206
Ripatti,75,2127,2140
neal,76,2390,2328
slavik,85,1844,1941
KAN,90,2071,2088
yarrr,92,2042,2068
natsugiri,94,1812,1911
flashmt,97,2064,2075
ffao,97,1793,1894
Gassa,102,2205,2158
niyaznigmatul,119,2276,2210
alexey.enkov,120,2053,2044
LLI_E_P_JI_O_K,123,1942,1975
Riatre,125,1975,1993
Ra16bit,127,2330,2253
Aksenov239,128,1930,1963
aropan,134,2166,2111
TankEngineer,143,2115,2065
cfk,146,1754,1830
boleyn.su,147,1701,1789
rminuv372,155,1923,1934
jonathanirvings,166,1787,1839
Edvard,172,2153,2087
zcg.cs60,173,1775,1825
watashi,183,2458,2359
Arterm,198,1906,1888
reiracofage,200,1738,1780
knightL,210,2049,1988
Igor_Kudryashov,217,2199,2112
Slamur,223,1786,1796
phtniit,229,1755,1771
---Grigor---,233,1970,1915
espr1t,236,2024,1960
Swistakk,240,1700,1726
nk.karpov,241,2112,2033
cjtoribio,244,1873,1832
zemen,245,1973,1914
Hohol,247,2015,1950
shilov,254,1814,1790
KarlisS,255,1912,1860
Ilya_MSU,256,1814,1789
vilcheuski,257,1754,1752
forest,265,2108,2024
ngfam_kongu,268,2073,1994
helThazar,269,1724,1723
el_sanchez,270,1922,1865
danbanica,284,1927,1866
rembocoder,284,1787,1752
Timur_Keks,289,1869,1816
niquefa_diego,297,1748,1719
Algiz,314,1716,1687
ivan100sic,317,1909,1844
ccdd4211,336,1741,1695
gridnevvvit,356,1791,1734
Oryshych,370,1711,1662
zeliboba,388,2190,2094
sweetsc,395,1897,1819
scorpion,399,1736,1674
balakrishnan,399,1791,1722
package.zaic,399,1963,1870
sas4eka,447,1754,1686
