handle,rank,oldRating,newRating
MrDindows,2,2524,2732
dreamoon_love_AA,4,2586,2734
LHiC,5,2983,3010
snuke,9,2488,2615
jcvb,12,2703,2752
majk,15,2217,2392
egor_bb,23,2193,2345
zemen,24,2794,2777
ifsmirnov,25,2658,2672
kmjp,26,2547,2588
irkstepanov,27,2221,2350
aliasadiiii,30,2471,2523
BigBag,32,2417,2479
I_love_tigersugar,38,2267,2359
maximumSHOT,39,2064,2218
Temirulan,42,2296,2373
paulwang,44,2638,2621
alex20030190,45,2510,2523
LLI_E_P_JI_O_K,48,2088,2217
izban,49,2585,2574
espr1t,51,2097,2218
buko,52,2239,2316
yosupo,55,2674,2633
NVAL,56,2350,2390
uwi,57,2443,2457
KungA,58,2184,2268
HIR180,59,2337,2375
Golovanov399,59,2192,2271
Enchom,61,2510,2502
Arterm,62,2518,2506
Nikitosh,65,2395,2411
bidzilya,67,2407,2418
FizzyDavid,68,2344,2370
nuip,70,2342,2367
M.Mahdi,74,2277,2315
StarCuriosity,78,2202,2256
I_love_Hoang_Yen,79,2398,2399
.I.,81,1973,2096
Akigeor,83,2324,2340
sfiction,88,2351,2355
MofK,90,2134,2196
Nezzar,97,2277,2292
AndreySergunin,99,2083,2151
urusant,100,2115,2172
hey_boris,100,2285,2295
.o.,102,2346,2339
Taube,107,2318,2315
satashun,118,2258,2261
qingczha,124,2047,2105
komendart,126,2506,2444
bogdan10bos,126,1910,2010
mredigonda,129,2005,2072
Carups,132,2166,2184
Svyat,133,1975,2048
PrashantM,134,1926,2015
Aeon,139,2134,2155
Misha100896,140,1985,2050
awoo,145,2028,2075
Kipsora,145,2368,2326
Arpa,151,1934,2006
KrK,151,2270,2248
xyz2606,153,2567,2476
mibig,154,2005,2053
vanogam,172,1919,1982
HMAXS,174,1900,1967
hohomu,176,2259,2226
agul,180,2083,2092
amsen,181,2025,2049
ToTLeS,184,1907,1965
adurysk,193,2205,2176
KhaledKEE,200,2154,2134
Birjik,203,1938,1973
fruwajacybyk,210,2037,2040
IvayloS,218,2122,2100
codelegend,219,1934,1961
saketh,220,2479,2377
Infinity25,223,2056,2047
adamant,226,2278,2217
yyyyyyffffff,228,1984,1991
TsReaper,231,2128,2098
vitux,233,1996,1997
Reyna,235,2410,2317
Ra16bit,237,2521,2404
Wild_Hamster,238,2311,2237
chenmark,239,2092,2066
Bedge,241,2000,1996
abisheka,242,1995,1991
veschii_nevstrui,246,2157,2113
Farhod,249,2077,2050
cuiaoxiang,250,2083,2054
VladRochian,252,2198,2143
Luqman,253,1987,1979
Tanzir5,257,1917,1926
yarrr,258,2134,2089
.tx,261,2436,2328
kzoacn,264,2128,2082
danilka.pro,271,2544,2411
Slamur,272,2099,2056
wilcot,274,1945,1936
akulsareen,278,2343,2247
RamTararam,280,2088,2043
elshiko,283,2061,2021
teleport,287,2346,2247
Bobrosoft,294,2053,2009
Sugardorj,297,1904,1892
Piccolo,298,1919,1903
wakaka,303,2223,2142
Superty,305,1977,1944
Irkutsk_ISRU,319,1977,1936
Mustang98,323,1910,1881
RedStone,325,1905,1876
areke,331,1914,1879
ajinkya1p3,334,1953,1908
ruhan.habib39,335,1961,1914
jaguar1996,347,1906,1862
radoslav11,361,2060,1983
LCM,362,1939,1880
Qwerty132,366,1998,1927
rembocoder,376,2097,2008
cerberus97,395,1997,1904
Kirundel,395,1927,1840
SlavaSSU,395,2113,2008
