handle,rank,oldRating,newRating
t98slider,6,1922,2148
srikkanthr,7,2077,2249
AlperenT,8,2014,2198
Lyde,9,2092,2243
dranjohn,11,2091,2238
misorin,12,2023,2186
-1e11,13,1980,2152
HwSh,14,1988,2154
AmirAli-Asgari,15,1871,2070
AaronHe,18,1873,2062
max0000561,19,1830,2028
Mc3X,21,2053,2181
topovik,22,2022,2157
huikang,25,1955,2104
aniketjain0317,29,1886,2050
miss_robot,32,1864,2032
leeminhduc2,33,2001,2126
thanhchauns2,34,1850,2017
Wilson_Inversion,34,1912,2060
LSTM__,36,2046,2153
komite,43,1854,2009
mkawa2,44,1987,2101
That_Salamander,51,1437,1754
dushenkov,52,2078,2158
kwm_t,53,1974,2082
flytime,56,1805,2017
a520ldk,57,1894,2078
catforces,57,2065,2143
h_squared,61,1853,1991
pwned,62,1977,2077
HaPpY1213,63,1993,2088
PBBx0,65,2007,2096
Jaydeep999997,65,1921,2035
NRolly,67,1967,2067
gohan123,68,2038,2114
danya111,73,1974,2067
elb89,77,2078,2139
dkhve,80,2051,2118
Shirotsume,85,1725,1886
slah007,85,2048,2113
induk_v_tsiane,90,2042,2104
MagentaCobra,90,2060,2117
1024mb,96,2037,2098
borgar02,99,1995,2066
The_Crossing,102,2039,2097
FierteDeCeylan,103,2078,2124
Imdie,106,1965,2040
yupooh,106,1816,1935
awesome_idiot,106,1770,1903
BERNARD,111,1864,1967
vito1036,113,2091,2129
systy,115,1895,1987
_FireGhost_,115,2051,2099
Kinon,118,1794,1913
jaewoo2009,118,1983,2047
_Fake4Fun,124,1971,2036
IamNewbie,124,2046,2090
blitztage,124,2013,2066
VolkovMA,124,2033,2080
Plecak,135,2023,2070
Swishy123,135,1795,1908
jason_sun,138,1929,2001
man_of_learning,142,1969,2028
Setsuna,142,2067,2099
psychobot,142,1763,1882
qilby,146,1966,2024
samnever,146,1855,1945
AndreyPavlov,146,2027,2068
dimss,146,2069,2099
DimmyT,152,2007,2051
Hile_Meow,152,2059,2089
pr0st0_sasha,152,1877,1957
duoluoluo,152,1799,1902
Owmicron,160,1942,2003
DaNeK0201,163,1936,1997
sedev57,163,2042,2074
HighDxDSchool,166,1937,1995
SZMSZBH,166,2042,2071
John_zyj,166,1901,1969
Gmacem,166,2076,2096
lukameladze1,166,2005,2044
sv1shan,175,1932,1990
welleyth,175,2058,2082
ZergTricky,180,1831,1916
volkov179,180,1938,1993
Abdulrahman27,180,1567,1733
guperman,180,2010,2045
ahshafi,180,1895,1962
XaRDKoDblCH,190,1706,1826
a_nanas,199,1814,1899
MrLolthe1st,199,1700,1819
imeplusplus,199,1846,1922
yy__zq,202,1850,1923
Icedpiggy,207,2044,2063
Mercy.,210,1725,1833
pranavvinchurkar,210,1875,1939
Handsome2004,210,1926,1976
lfc_andy26,210,2020,2044
Roll_Num_56,210,1945,1989
lbntxdy,224,1744,1842
gortomi,224,1622,1757
JYJin,224,1971,2004
Timur2006,233,1940,1980
hoainiem,233,1869,1928
wildfire032,233,1966,1999
wnmrmr,245,1821,1893
asafiul,247,2004,2024
coong,247,1547,1700
AboAbdoMC,252,1958,1989
hackerbhaiya,257,1811,1881
becaido,257,2083,2080
enzopsm,257,1910,1952
RegenFallen,257,2034,2043
Vectors_Master,268,2068,2067
recollector,268,1796,1869
KseniaShk,274,2070,2068
monologue,274,1827,1890
the_computer_jock,279,1975,1996
Intellegent,279,1771,1849
Elizabeth.H.York,285,2093,2083
brenner1,285,1792,1863
Wolam,285,1835,1893
