handle,rank,oldRating,newRating
ecnerwala,1,3309,3458
tourist,2,3520,3567
Marcin_smu,3,2838,3026
Petr,4,3187,3272
Radewoosh,5,3055,3157
Um_nik,6,3567,3527
maroonrk,7,3421,3409
snuke,9,2800,2929
KAN,10,2828,2943
hank55663,11,2797,2914
neal,12,2789,2903
Egor,13,2855,2947
frodakcin,14,2304,2539
xiaowuc1,15,2334,2556
orz,17,2681,2802
79brue,18,2346,2553
uwi,19,2717,2821
Noam527,20,2805,2883
244mhq,21,2826,2896
natsugiri,22,2680,2785
Errichto,23,2592,2717
Benq,25,3283,3226
zeliboba,27,2733,2812
_h_,28,2792,2851
Yongaron,28,2291,2483
chokudai,30,2447,2592
mtsd,32,2533,2653
Merkurev,33,2966,2973
tatyam,34,2412,2561
nuip,37,2744,2800
Martin53,38,2568,2668
Potassium,39,2285,2459
dreamoon_love_AA,40,2745,2796
yokozuna57,41,2745,2795
yashChandnani,44,2559,2652
SirShokoladina,45,2591,2675
Thienu,46,1961,2221
antontrygubO_o,47,2441,2561
shino16,48,2194,2380
Swistakk,51,2742,2779
icecuber,52,2724,2764
turmax,55,2431,2544
Gassa,56,2405,2523
Antoine,57,2214,2383
Ilya_MSU,58,2337,2471
Reyna,59,2634,2689
hugopm,60,2518,2602
Savior-of-Cross,65,2251,2401
Motarack,66,2501,2583
errorgorn,68,2186,2352
QwertyPi,69,2148,2324
SSRS_,70,2298,2430
tonyjjw,72,2427,2523
JeffreyLC,73,2122,2302
Roundgod,75,2529,2596
jdurie,77,2132,2305
nigus,82,2396,2492
AndreySergunin,83,2739,2746
nagpaljatin1411,84,2224,2365
Aeon,85,2321,2434
KAP,86,2223,2363
Apsara,88,2302,2418
Ari,89,2254,2383
nikolapesic2802,90,2545,2596
Wild_Hamster,93,2369,2464
ehnryx,95,2412,2494
Tlatoani,96,2563,2605
baqargam,97,2152,2304
user202729_,99,2716,2717
SPatrik,100,2197,2334
ainta,101,2974,2910
diko,102,2414,2491
rqi,104,2440,2509
olliH,106,2166,2308
hos.lyric,107,2862,2822
KostasKostil,108,2305,2407
scanhex,109,2802,2776
ksun48,112,2995,2920
AnandOza,113,2218,2341
Monogon,115,2109,2262
upobir,117,2268,2374
posij118,119,2191,2318
KagamineRin,120,2251,2361
prabowo,121,2436,2496
Timur_Sitdikov,124,2699,2690
VladaMG98,125,2131,2272
YeongTree,127,2308,2398
jjaworska,133,2152,2282
Temotoloraia,135,2599,2610
tloinuy,136,2104,2247
jiangly,138,2906,2839
-is-this-fft-,139,2395,2456
Koosha_Mv,143,2248,2347
TadijaSebez,144,2588,2597
SecondThread,145,2471,2510
pavlekn,146,2257,2352
RobeZH,147,2327,2402
aropan,153,2495,2524
reeWorld,154,2158,2277
galen_colin,155,2247,2340
natofp,156,2105,2238
bicsi,157,2649,2637
tmwilliamlin168,159,2836,2778
bthero,161,2173,2284
Amoo_Safar,162,2731,2697
Baharevim,164,2109,2237
Atreus,165,2488,2514
Siberian,166,2126,2249
tobias.glimmerfors,169,2074,2210
hitonanode,170,2618,2609
fuppy,173,2461,2491
VladProg,174,2381,2431
kotatsugame,175,2377,2428
Elegia,176,2819,2758
I_LOVE_ANTON_DONBASS,176,2102,2227
AngrySeal,181,2191,2289
Starman_,183,2145,2255
BurnedChicken,187,2259,2336
_Yuru_,188,2036,2175
iakovlev.zakhar,188,2207,2297
tfg,192,2751,2701
Tekor,193,2087,2210
cookiedoth,194,2912,2822
He_Ren,197,2141,2247
brimix__,201,2111,2225
Brovko,203,2191,2281
tribute_to_Ukraine_2022,207,2876,2791
nong,214,2332,2380
nikgaevoy,216,2557,2548
TheScrasse,219,2127,2230
martins,221,2141,2239
whzzt,224,3025,2899
Wielomian,230,2135,2232
KevinWan,231,2479,2485
Jimanbanashi,232,2405,2429
noimi,233,2480,2485
dvdg6566,234,2310,2358
cerberus97,235,2508,2505
Prostoegor239,236,2223,2294
BaaaaaaaaaaaaaaarkingDog,237,2188,2268
donentseto,238,2335,2375
gleb.astashkin,242,2120,2218
Akulyat,244,2490,2489
AaParsa,248,2221,2289
VLamarca,250,2192,2268
Ra16bit,251,2480,2480
mhhmkht,255,1704,1924
wangziji,256,2278,2329
Atalasion,257,2262,2317
sys.,258,2195,2268
dario2994,259,2722,2662
jumpmelon,260,2372,2398
nishkarsh,262,2108,2204
Jakube,264,2351,2381
grandesonnerie,265,2152,2235
AliShahali1382,266,2456,2458
Sorting,270,2233,2293
Hakiobo,272,2122,2211
Septimelon,273,2099,2195
Kirill22,274,2226,2286
jo_on,275,2303,2343
ILoveBitches,275,2171,2245
Jostic11,277,2219,2280
Rainer1116,278,1310,1725
txingml,280,2133,2218
zidder,281,2165,2240
yulik.daniel,282,2099,2192
agul,286,2142,2222
DarLam,287,2137,2218
liouzhou_101,287,2239,2293
idontreallyknow,295,1808,1985
Mohammad.H915,303,2129,2208
allllekssssa,308,2169,2236
Ashishgup,312,2266,2307
mbalsells,324,2100,2183
r57shell,326,1955,2080
Lolboyyyy,331,2179,2238
AsleepAdhyyan,333,2233,2277
Rajdeep,335,2167,2229
kmjp,336,2901,2779
duality,337,3000,2856
Maksim1744,338,2987,2844
IgorI,339,2278,2309
alexwice,340,2107,2185
izban,344,2825,2721
Lawali,346,2424,2417
gop2024,347,2772,2680
qazswedx2,348,2469,2450
pashka,350,2727,2645
Nezzar,351,2562,2520
ykx,352,1930,2055
Sugar_fan,352,2563,2520
rama_pang,352,2284,2311
sevlll777,355,2169,2226
faresbasbas,355,1926,2052
SoMuchDrama,358,2557,2515
isaf27,359,2862,2745
Keshi,360,2195,2244
Fly_37,361,2304,2325
zemen,361,2890,2768
KeNaj712,365,2324,2338
Goorkiewicz,365,2271,2299
Suika_predator,367,2317,2333
Farhod,368,2448,2431
Taiyaki,370,2247,2280
amnesiac_dusk,370,2731,2643
JettyOller,370,2435,2420
pwild,376,2462,2440
