handle,rank,oldRating,newRating
2021,3,1819,2052
jvmusin,12,1888,2036
gleb.astashkin,13,1842,2000
whjhr,19,1875,2006
Umi,22,1727,1896
awoo,59,1806,1901
CepryH9,68,1677,1806
PugachAG,96,1655,1773
Bashca,111,1665,1771
TimeLimitExceed,123,1543,1684
LLI_E_P_JI_O_K,124,1826,1878
Hamsterw,129,1753,1824
TripleM5da,139,1833,1877
Mucosolvan,148,1783,1838
_LeMur_,151,1897,1920
Ali.Kh,156,1762,1820
Onjo,166,1520,1651
zhed,215,1825,1848
Son,221,1770,1806
Created_equal,238,1846,1857
sarkar,263,1625,1693
alexxx998,267,1553,1643
tfg,270,1783,1804
Ferume,279,1599,1671
Rudy1444,283,1702,1743
ugly2333,314,1570,1644
top34051,334,1705,1735
dhxh,343,1659,1700
Sutaner,437,1652,1680
lethalboy,441,1589,1634
xiaoxiaobaozi,463,1620,1653
ZiyaZa,467,1762,1756
thatprogrammer,479,1610,1643
faustaadp,483,1414,1508
nudun001,488,1443,1527
osss,492,1414,1507
cxhscst2,510,1676,1687
mohamedeltair,520,1614,1641
gigajet,643,1578,1600
Flavius,645,1524,1561
waynetuinfor,679,1690,1678
DatVu,685,1553,1577
vntshh,687,1501,1540
a.nogikh,692,1894,1832
kzyKT,778,1854,1794
RockyB,782,1645,1634
Emma194,796,1750,1712
czsnb,797,1493,1522
programmer228,801,1727,1694
Worg,845,1889,1816
sinus_070,849,1589,1586
zhabo,869,1897,1820
lessmeaning,881,1679,1651
Ashishgup,896,1518,1530
vladmart,918,1597,1586
RUSH_D_CAT,938,1852,1780
xoxo,950,1686,1650
andreumat,956,1711,1669
Moon1125666900,959,1506,1515
GT_18,959,1387,1431
RubenAshughyan,1032,1443,1464
cnnfls_csy,1036,1441,1461
MaksymOboznyi,1098,1455,1466
lqs2015,1110,1622,1589
bbmirbek,1116,1461,1469
vladvlad00,1122,1500,1497
smtcoder,1133,1216,1300
TooNewbie,1169,1353,1388
lebeg,1208,1682,1629
mxzf0213,1316,1704,1639
N.E.R.O,1454,1438,1425
andrew,1465,1490,1463
Osama_Alkhodairy,1538,1298,1317
Nickir,1624,1533,1486
IceKnight1093,1707,1426,1398
NinjaDoggy,1729,1500,1454
emofunc,1845,1680,1591
PeregudovSergey,1896,1372,1344
gohan123,1965,1496,1436
profi,1992,1235,1234
paulzrm,2091,1047,1094
babin,2135,1601,1511
RestingRajarshi,2144,1314,1281
Akatsuki_,2159,1460,1395
Dmitriy.Belichenko,2233,1570,1481
spacewalker,2352,1500,1416
Qwertenx,2479,1520,1426
iLoveIOI,2865,1379,1266
Dalenator,2865,1294,1187
