handle,rank,oldRating,newRating
dzgod1905,2,1582,1882
sjcsjcsjc,10,802,1367
zhangjianjuncd,18,550,1171
pjych1,24,1599,1801
nenuybtd,46,752,1254
yahia,47,1561,1738
XueYJ,49,1097,1495
Young.FQ,69,1592,1804
Alfeh1,118,1056,1421
RGB_ICPC1,123,1353,1635
sharaelong,124,1551,1736
Ayalla,130,1516,1652
syzf2222,137,1303,1508
Pentagon03,144,862,1277
Rebirth,172,1558,1668
Celebrate,181,977,1344
Java,186,1357,1528
happypotato,187,538,1031
Mike4235,197,1587,1682
djs100201,205,1459,1591
MvKaio,207,1418,1562
earl_of_byteland,261,1215,1465
Gorgo,301,968,1310
saprykin,340,1511,1598
SlavicG,340,1496,1587
BaoJiaoPisu,456,1541,1604
Deepesson,476,0,607
aniketjain0317,485,1421,1515
qwerasdfzxcl,570,944,1258
Boboge,585,1536,1587
alexchist,616,1178,1343
MarioPariona117,625,1427,1507
AsukaSaito,633,1303,1422
gs20036,675,556,972
Kirkon,778,1356,1444
vectorwyx,822,1525,1560
goben,880,1545,1570
turkhuu622,1001,1470,1508
urosk,1108,1256,1355
dsolunov,1253,1479,1501
sreesh_56,1253,1399,1445
127.0.0.1,1253,1424,1462
Lyde,1285,1191,1302
Nzt3,1369,0,546
GreenHanHan,1410,1478,1494
laozhu1234,1668,1304,1359
nooooob_KiFaH_HeLaL,1705,1471,1477
TTNhan,1705,1511,1506
Zimse.,1705,1132,1292
HappyPacMan,1765,1010,1240
Alcabel,1791,1014,1196
Doru,1873,1540,1521
syrtin,1873,1269,1327
kitsune,1898,1530,1514
_FireGhost_,1918,880,1139
trainerherp,1986,1119,1222
umezo,2118,1549,1522
hzr,2225,0,516
vodacbaoan,2225,1545,1515
icefake,2247,1422,1423
RakibJoy,2285,1412,1415
MnTm,2285,1273,1316
despair_101,2456,1250,1294
Ertugrul28,2546,1525,1492
DilshodbekX,2591,1560,1517
shuba400,2742,1587,1535
RockSnow,2863,1268,1294
VenomInVein,2925,1425,1407
gabriel88766,3056,1289,1365
voidXD,3095,1256,1280
smalyarovsky,3170,1483,1446
Mondeus,3284,1456,1423
shade34,3284,1190,1228
ace5,3307,1515,1467
XaRDKoDblCH,3365,1200,1233
Ahmed_Salah7,3394,1339,1332
Soumya1,3459,1538,1482
LipArcanjo,3490,1524,1470
alecs,3564,1238,1255
snokes,3602,1380,1358
Kawaii,3611,1233,1250
PoPularPlusPlus,3656,499,821
_martynas,3758,1547,1483
lis05,3842,656,925
mishanya_stulov,3882,1510,1452
NHiL,3933,1195,1215
wzyeustia,4106,1386,1352
AA_Surely,4228,1176,1194
Arturo,4481,1418,1369
beepbeepsheep,4523,484,793
leeminhduc2,5147,667,905
Tsovak,5147,1065,1096
milind0110,5310,1094,1172
Esquire,5453,1018,1057
Ahmed57,6141,1023,1045
Farsh_LE,6331,1147,1130
LetterC67,6387,409,704
HinanawiTenshi,6581,1072,1070
qilby,6764,1102,1088
sumon123,7012,938,966
Timur2006,7064,1117,1094
Valaki2,7415,1055,1041
k1sara,7657,794,963
Rayo,7788,1092,1062
mechakotik,8058,0,414
Riblji_Keksic,8058,1295,1218
zsombor,8164,0,413
Morisz10,8354,0,410
xuanbac05,8436,0,409
aimoon,8723,755,801
AbdelmagedNour,8834,1023,1028
sdyakonov,9489,0,397
manizare,10113,815,804
KseniaShk,10251,1196,1106
exhausted,10493,0,387
Alex239,10677,0,385
Dukkha,10957,1352,1233
socpite,11235,1275,1163
ExpectoPatronum,11266,0,378
rainboy,11589,1220,1110
18o3,12250,367,596
CDuongg,12914,850,759
ArianKheirandish,13133,0,356
