handle,rank,oldRating,newRating
Nero,8,1692,1781
Sert,15,1652,1767
SeyedParsa,17,1655,1767
A_Le_K,19,1597,1749
toilanvd_HUST,28,1500,1749
Sugardorj,92,1556,1706
Ronnie007,98,1680,1734
Carups,133,1673,1716
Mediocrity,153,1639,1702
PAP,165,1443,1638
bigelephant29,182,1682,1693
Ioana,232,1691,1669
aliasadiiii,274,1473,1615
SlavaSSU,391,1555,1593
BekzhanKassenov,410,1664,1610
TsunamiNoLetGo,478,1499,1554
zhabo,478,1567,1562
Flyrise,503,1679,1610
k1nval,645,1516,1499
hey_boris,685,1379,1459
yokozuna57,759,1529,1478
CtrlAlt,878,1598,1517
Alexandr_TS,909,1453,1411
magician_14312,983,1588,1501
0x3F,1127,1545,1458
Egor.Lifar,1287,1312,1269
PrashantM,1345,1245,1182
craborac,1345,1192,1137
