handle,rank,oldRating,newRating
kaisel,2,1469,1935
hieu_2004,4,1882,2106
TigerStar,7,1871,2073
Sedmoklasnikut,12,1804,2002
EN_SA,13,1698,1926
fr200110217102,19,1198,1642
Sofapuden,20,1899,2044
Belalabella,23,1869,2017
Resende,28,1763,1934
DestinHistoire,36,1745,1911
Ooops_no,39,1845,1976
kiomi,45,1815,1948
tkacper,48,1658,1838
hibye1217,51,1783,1920
jerry3128,52,1682,1850
aryan12,55,1859,1969
NTU_God_Bo,56,0,760
George_Plover,60,664,1215
Wonsei,65,1873,1972
Ecrade_,69,1604,1784
Mitsukasa_Ayase,83,1633,1852
I_love_geom,102,1760,1870
asdsasd,103,1877,1952
Agnus,125,1779,1873
hamath,126,1899,1958
caoash,137,1899,1954
_RED__,141,1583,1733
JYJin,151,1484,1663
p__ce1052,163,1519,1681
CIXTEEN,165,1519,1681
plagues,172,1835,1896
lanhf,174,1250,1505
shuyefan,180,0,695
AHappyPotato,190,1759,1837
slah007,198,1873,1916
nathan_luiz,206,1782,1849
volkov179,212,1897,1930
KDVinit,226,1802,1858
jerryfish233,247,1292,1582
ODD-EYES,247,1542,1706
BabaVoss,259,1692,1773
mr.kolya,264,1604,1711
alecs,279,1436,1595
Mirbek,290,1602,1704
huikang,294,1799,1842
czhang2718,296,1436,1591
jhkoh,298,1828,1863
Gleefre,311,1679,1754
Valera_Grinenko,313,1712,1777
m.shreyansh,316,1894,1908
vsinitsynav,317,1793,1834
Boredom,319,1806,1843
iamnifer,345,1725,1780
surgutti,352,1761,1805
__Linh__,352,1632,1713
princebelkovetz,356,1887,1896
rgnerdplayer,356,1525,1639
palilo,356,1726,1779
MahmoudAshour,363,1497,1619
Kurorz,365,1804,1834
andreumat,374,1762,1802
WeakestTopology,378,1880,1887
catforces,378,1851,1866
myx12345,398,1891,1892
Kalashnikov,404,1843,1857
--tofu--,409,1775,1806
555,411,1232,1438
brenner1,421,1738,1778
vrooooom,421,1885,1885
rabbitsthecat,421,1899,1895
Irmuun.Ch,424,1472,1592
varlevani,442,1646,1710
ShlokG,442,1795,1816
robotolev,445,1808,1826
Vectors_Master,466,1579,1659
YPK,471,1659,1714
WillTheBill,485,1776,1797
Millad,485,1840,1844
mafailure,497,1745,1774
zggf,499,1878,1870
gdb_18,499,1861,1857
DesalotAge,517,1502,1599
Dorost,521,1822,1826
Hile_Meow,529,1883,1870
__jk__,529,1589,1657
ema,556,1858,1849
DilshodbekX,567,1650,1696
MetalPower,567,1782,1792
snowysecret,599,1659,1700
mc._cari,602,1823,1819
MahiruShiina,602,1655,1696
StrawHatWess,616,1857,1843
eggag32,616,1830,1822
Jarif_Rahman,627,1687,1717
usuyus,644,1463,1557
Error-42,651,1504,1584
Rewenix,741,1618,1656
Abbess,748,1783,1776
sare,748,1757,1756
mjhmjh1104,769,1671,1692
sam571128,773,1793,1781
codicon,797,1651,1675
Guess.Who,802,1111,1355
Suckmycode,807,1450,1567
AmirrzwM,811,1452,1533
Mr.Plotva,815,1658,1679
FHVirus,818,1807,1787
QieziMin,830,1853,1822
prostochill,839,1677,1690
jeroenodb,844,1848,1818
Celebrate,844,0,594
Ayalla,858,1569,1611
TKT_YI,871,0,592
Tatsuyaaaa,960,1816,1786
BlueBlisteringBarnacles,960,1492,1548
Dallby,968,1798,1771
ChinmayKarnik,973,1855,1814
Elo,990,1569,1600
t98slider,1021,1560,1592
fairy_lettuce,1026,1623,1637
Ahmed_Salah7,1063,1418,1489
BaoJiaoPisu,1069,1456,1514
GoatTamer,1076,1546,1578
minhnguyenxuan60,1076,1716,1702
ntdung,1084,1433,1497
rainty7,1149,1864,1810
1024mb,1157,1604,1615
TheAshenWitch,1200,1509,1543
khuepr123,1226,1641,1638
nador.benedek,1230,1507,1540
Kude,1236,704,1060
lukameladze1,1244,1514,1544
GreenHanHan,1295,1659,1647
caan_do,1304,1516,1542
Lol2004,1314,1492,1524
xpov1LL,1320,1770,1729
Arturo,1329,1330,1409
moo.,1339,1742,1707
Ina,1353,1801,1752
reiracofage,1381,1893,1822
gabriel88766,1387,0,556
evenvalue,1392,1162,1343
keta_tsimakuridze,1397,1607,1603
ivan_m_chas,1397,1418,1466
oisdoaiu,1430,1609,1603
