handle,rank,oldRating,newRating
Um_nik,1,2657,2779
Egor,2,2631,2723
Endagorion,3,2644,2714
jiry_2,9,2364,2476
JoeyWheeler,10,2325,2447
uwi,11,2448,2535
jcvb,12,2669,2698
TankEngineer,14,2622,2659
ainta,15,2309,2430
Kostroma,16,2432,2517
ngfam_kongu,17,2272,2402
zeliboba,18,2386,2482
Marcin_smu,24,2869,2808
mmaxio,25,2483,2541
snuke,28,2645,2647
darnley,32,2265,2383
Arterm,33,2375,2456
Swistakk,34,2633,2627
SirShokoladina,36,2694,2662
arthur.nascimento,59,2126,2268
Golovanov399,60,2377,2426
Reyna,68,2035,2203
saketh,71,2394,2424
Nikitosh,72,2346,2394
sivukhin,75,2334,2384
quailty,77,1906,2110
-imc-,78,2142,2264
espr1t,80,2018,2184
MrDindows,82,2559,2498
flashmt,84,2118,2245
egor_bb,85,2268,2335
Nero,90,2377,2391
zemen,90,2626,2548
Aidos,94,2183,2277
paulwang,104,2421,2398
Glance,105,1997,2155
pwild,109,2247,2301
kmjp,117,2334,2339
NVAL,122,1839,2040
Bobgy,131,2300,2307
LHiC,132,2632,2534
muratt,147,2051,2162
nfssdq,153,2256,2265
komendart,156,2064,2163
natsugiri,156,2432,2359
.I.,160,2006,2127
Jimanbanashi,163,2243,2250
ZJiaQ,164,2028,2137
Aeon,165,1918,2071
akim,170,2062,2153
Svyat,172,1857,2027
skrydg,173,2406,2332
KrK,177,2302,2263
adurysk,179,2348,2284
vintage_Vlad_Makeev,185,1934,2070
RamTararam,192,1864,2022
Nezzar,196,2180,2193
Sammarize,197,2188,2196
sokian,202,2254,2220
Ioana,211,1994,2089
magician_14312,213,2007,2095
NegaTeeF,216,2101,2141
yubowenok,219,2151,2162
Pepe.Chess,222,1774,1946
NikaraBika,226,1959,2061
knightL,231,2374,2288
BekzhanKassenov,233,2033,2096
gangsterveggies,235,2092,2123
MofK,238,1953,2051
SlavaSSU,241,1754,1924
takio,241,2002,2076
kalimm,247,1881,2005
PAP,248,1961,2050
xyz2606,253,2430,2329
Radewoosh,259,2511,2393
tom,263,1814,1955
kondranin,266,2100,2105
athin,268,2275,2198
TonySnark,288,1964,2028
Hyperbolic,300,1896,1986
LLI_E_P_JI_O_K,302,2008,2041
zhsh,304,2125,2089
scorpion,306,2138,2092
oversolver,309,2426,2312
Slamur,311,1991,2028
triveni,317,1814,1929
SeyedParsa,322,2263,2176
Lo_R_D,326,1760,1890
cjtoribio,328,2082,2056
weiszago,334,1872,1955
rais.fathin38,337,1960,1998
Dragos,354,1980,1998
kostka,355,1960,1988
Enchom,358,2454,2335
josdas,358,1940,1977
Trumen,363,2188,2107
azukun,368,2288,2187
KAN,371,2732,2611
BigBag,374,2148,2073
Sergey.Bankevich,378,2102,2036
Sert,379,2047,2009
Hasan0540,389,1905,1943
tonyjjw,398,2430,2311
abeker,400,2041,1994
PrashantM,400,1986,1974
YerzhanU,409,2243,2143
Temirulan,413,2128,2049
I_love_tigersugar,416,2433,2314
Valentin_E,440,1995,1953
VastoLorde95,445,1817,1870
nigus,445,2094,2016
shilov,461,1902,1904
akashin,464,2044,1973
mibig,476,2014,1947
Ra16bit,485,2442,2323
wilcot,490,1801,1840
DBradac,499,2224,2112
Wild_Hamster,512,2185,2079
PalmPTSJ,515,1825,1840
RomeoFantastik,517,1840,1847
danilka.pro,519,2328,2210
pimpke,543,2041,1957
AndreySergunin,549,2046,1960
k1nval,553,1872,1844
MZuev,556,1979,1905
Bedge,566,1713,1754
chemthan,584,1937,1867
adamant,592,2083,1984
temich,602,1853,1812
niike0goood,604,1719,1741
khsoo01,616,2106,1999
I_love_Hoang_Yen,643,2605,2485
Andreikkaa,653,2184,2068
Mediocrity,655,2258,2141
romanasa,669,1702,1703
Zool,684,1865,1794
bicsi,686,2058,1951
geniucos,701,2106,1990
Alexandr_TS,719,1977,1881
never_giveup,723,1736,1700
Egor.Lifar,725,1759,1711
krismaz,733,2055,1943
TsunamiNoLetGo,743,2167,2051
izban,751,2612,2492
bogdan10bos,759,1805,1734
farmerboy,772,1737,1679
Philae,780,2145,2029
Pakalns,783,1753,1688
xwind_phoenix,790,1706,1655
SoMuchDrama,794,1802,1727
RedStone,816,1736,1669
VladaMG98,818,2043,1928
Shayan,842,1756,1682
Z0RR0,864,1839,1750
Zoli9,873,1732,1658
API,874,2036,1921
TimonKnigge,894,2074,1959
leanil,894,1734,1657
Vax,894,1767,1686
Kniaz,894,1768,1686
sweetsc,894,1964,1851
arsijo,941,1711,1627
nasadigital,941,1878,1770
AminAnvari,941,1791,1696
speedermen,941,2208,2092
Vladik,941,1828,1728
JATC,941,1721,1636
ifsmirnov,941,2487,2368
ivdim1999,941,1755,1665
balakrishnan,941,2187,2071
bardek,941,2492,2373
.o.,1048,2364,2246
