handle,rank,oldRating,newRating
tourist,1,2964,3022
bmerry,6,2047,2158
uwi,8,2211,2290
Egor,10,2532,2545
eduardische,12,2119,2208
Ra16bit,12,2215,2286
liympanda,20,2296,2331
DamianS,22,2028,2121
Gassa,29,2166,2218
Sammarize,43,2092,2141
enot110,45,2144,2178
ifsmirnov,46,2052,2109
EbTech,47,1945,2027
pperm,48,2299,2280
KrK,53,1983,2049
Slamur,62,1720,1832
aropan,64,2260,2225
knightL,65,2060,2091
Jami_CSEDU,66,1856,1939
balakrishnan,71,1856,1934
yarrr,74,1875,1945
PavelKunyavskiy,77,2228,2185
lxc,101,1743,1817
dinosaurs,123,1962,1962
UESTC_Nocturne,126,2199,2137
flashmt,136,2106,2054
DPR-pavlin,141,1925,1918
rminuv372,142,1955,1936
Ilya_MSU,149,1865,1869
shef_2318,155,1707,1747
oversolver,163,2041,1988
Timur_Sitdikov,167,2132,2066
LLI_E_P_JI_O_K,168,1897,1873
izban,169,1705,1735
Jimanbanashi,173,1728,1750
caustique,174,1840,1830
jskhirtladze,183,1741,1751
Oryshych,202,1764,1754
kuzmichev_dima,206,1944,1891
mrtempo,224,1885,1834
gen,229,1722,1701
espr1t,233,2057,1982
phtniit,252,1760,1717
hydrastuff,268,1892,1830
Yousef_Salama,268,1737,1692
qwerty787788,274,1850,1791
YerzhanU,280,1711,1665
natsugiri,282,1763,1712
KarlisS,299,1785,1728
sillyboy,309,1825,1761
NVAL,313,1740,1683
