handle,rank,oldRating,newRating
retired_coder,2,1694,1998
ItsLastDay,5,1845,2058
peltorator,7,1724,1960
ReaLNero,11,1835,2015
SimB4,26,1669,1861
cristian1997,29,1858,1984
SAeed,29,1827,1962
Barichek,31,1828,1961
Kerim.K,51,1852,1954
Sunnat,55,1883,1972
Ali.Kh,57,1550,1743
RUSH_D_CAT,77,1757,1866
mxzf0213,79,1802,1897
LCM,86,1880,1948
Zain,102,1658,1784
areke,114,1879,1933
Markellonchik,121,1694,1799
allllekssssa,125,1820,1886
SendThemToHell,134,1526,1680
Jhamra,142,1881,1924
BitHashTech,145,1808,1870
Sanja,152,1875,1915
receed,162,1480,1639
darkkcyan,167,1826,1875
cookiedoth,170,1642,1744
bruno.iljazovic,173,1817,1867
gop2024,177,1735,1807
balakrishnan,187,1866,1898
Kirundel,189,1840,1878
-is-this-fft-,189,1682,1766
AcPlusOne,212,1835,1869
surokpro,216,1663,1745
brimix__,249,1287,1490
dima_z,255,1679,1747
Dukkha,257,1830,1855
saba2000,258,1546,1654
Gmacem,292,1620,1698
Rudy1444,314,1779,1806
Juve45,321,1821,1836
DLUT_Zeratul,360,1742,1771
Kerpoo,364,1661,1712
_Ash__,368,1647,1702
theodor.moroianu,372,1747,1772
ATSTNG,386,1500,1597
Sumeet.Shirgure,412,1735,1758
Hodobox,428,1678,1715
csegura,438,1882,1864
rainboy,445,1593,1652
CepryH9,469,1540,1611
FalseMirror,493,1629,1670
xoxo,525,1597,1643
sinus_070,536,1460,1547
loan,547,1418,1517
PugachAG,550,1779,1773
sava-cska,581,1453,1536
Mustang98,581,1881,1847
pedroteosousa,607,1737,1736
Klungs,762,1892,1839
jaguar1996,776,1862,1815
achi_basadzishvili,795,1280,1397
zhabo,801,1715,1702
bbmirbek,860,1362,1444
GioChkhaidze,864,1136,1300
MladenP,869,1546,1571
Rezwan.Arefin01,878,1383,1456
TripleM5da,891,1713,1693
YaKon4ick,913,1789,1749
fsshakkhor,944,1875,1813
kimden,952,1846,1790
pedrohlf,956,1711,1686
mahmoudbadawy,961,1833,1779
Umi,964,1609,1608
RedStone,971,1876,1812
kzyKT,981,1845,1787
vladmart,983,1569,1578
RockyB,1005,1721,1690
sarkar,1024,1615,1608
tfg,1043,1751,1710
thatprogrammer,1059,1528,1542
STommydx,1091,1885,1812
ppavic,1114,1545,1550
DatVu,1148,1231,1330
Makcum888,1189,1500,1511
Dopahkiin,1201,1843,1772
Nson,1207,1593,1579
fake123_loves_me,1235,1695,1655
derovi,1269,1526,1525
tinca_matei,1285,1605,1583
yashChandnani,1310,1420,1445
AngrySeal,1324,1414,1439
Bashca,1324,1535,1527
jvmusin,1407,1758,1694
Mohammadreza_mz,1517,1464,1462
kissgergely,1517,1522,1506
compiler_101,1559,1820,1736
Rpd-Strike,1588,1673,1618
profi,1623,1441,1438
Ahmed-,1633,1546,1517
Ferume,1703,1363,1376
mohamedeltair,1703,1495,1474
Nybik,1787,1412,1407
ImaniAm,1849,1341,1351
Solnechniy_kray,1880,1334,1344
Dmitriy.Belichenko,1910,1424,1409
arnold518,2052,1543,1493
Ashishgup,2052,1547,1496
Akatsuki_,2120,1315,1314
IF_IR_A_1_IR,2192,1514,1463
Astralpirate,2435,1360,1329
peti1234,2582,1216,1210
win11905,2800,1500,1423
Plurm,2808,1439,1328
Osama_Alkhodairy,2808,1422,1312
RestingRajarshi,2808,1332,1229
_no0B,2808,1201,1107
Kapt,2808,1473,1359
osss,2808,1351,1247
IgorI,2808,1375,1269
lsantire,2808,1559,1437
arman_ferdous,2808,1260,1162
TooNewbie,2808,1159,1067
