id,contestId,creationTimeSeconds,relativeTimeSeconds,problem,author,programmingLanguage,verdict,testset,passedTestCount,timeConsumedMillis,memoryConsumedBytes,points
66272575,257,1575463730,2147483647,"{'contestId': 257, 'index': 'E', 'name': 'Greedy Elevator', 'type': 'PROGRAMMING', 'points': 3000.0, 'rating': 2200, 'tags': ['data structures', 'implementation']}","{'contestId': 257, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1357659000}",C++17 (GCC 7-32),OK,TESTS,29,686,6656000,
66272437,257,1575463581,2147483647,"{'contestId': 257, 'index': 'E', 'name': 'Greedy Elevator', 'type': 'PROGRAMMING', 'points': 3000.0, 'rating': 2200, 'tags': ['data structures', 'implementation']}","{'contestId': 257, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1357659000}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,5,528,8806400,
66269148,241,1575459580,2147483647,"{'contestId': 241, 'index': 'B', 'name': 'Friends', 'type': 'PROGRAMMING', 'rating': 2700, 'tags': ['binary search', 'bitmasks', 'data structures', 'math']}","{'contestId': 241, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1351783800}",C++17 (GCC 7-32),OK,TESTS,44,2462,8294400,
66269050,241,1575459438,2147483647,"{'contestId': 241, 'index': 'B', 'name': 'Friends', 'type': 'PROGRAMMING', 'rating': 2700, 'tags': ['binary search', 'bitmasks', 'data structures', 'math']}","{'contestId': 241, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1351783800}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,14,62,2150400,
66268968,241,1575459329,2147483647,"{'contestId': 241, 'index': 'B', 'name': 'Friends', 'type': 'PROGRAMMING', 'rating': 2700, 'tags': ['binary search', 'bitmasks', 'data structures', 'math']}","{'contestId': 241, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1351783800}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,14,62,2048000,
66266340,19,1575455920,2147483647,"{'contestId': 19, 'index': 'E', 'name': 'Fairy', 'type': 'PROGRAMMING', 'rating': 2900, 'tags': ['dfs and similar', 'divide and conquer', 'dsu']}","{'contestId': 19, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1277391600}",C++17 (GCC 7-32),OK,TESTS,80,92,2150400,
66265222,107,1575454201,2147483647,"{'contestId': 107, 'index': 'C', 'name': 'Arrangement', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2400, 'tags': ['bitmasks', 'dp']}","{'contestId': 107, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1314111600}",C++17 (GCC 7-32),OK,TESTS,40,248,716800,
66265068,107,1575453944,2147483647,"{'contestId': 107, 'index': 'C', 'name': 'Arrangement', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2400, 'tags': ['bitmasks', 'dp']}","{'contestId': 107, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1314111600}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,6,60,716800,
66215161,739,1575362135,2147483647,"{'contestId': 739, 'index': 'C', 'name': 'Alyona and towers', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2500, 'tags': ['data structures']}","{'contestId': 739, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1479918900}",C++17 (GCC 7-32),OK,TESTS,94,1996,40960000,
66215086,739,1575362020,2147483647,"{'contestId': 739, 'index': 'C', 'name': 'Alyona and towers', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2500, 'tags': ['data structures']}","{'contestId': 739, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1479918900}",C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,53,2000,45670400,
66214694,739,1575361496,2147483647,"{'contestId': 739, 'index': 'C', 'name': 'Alyona and towers', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2500, 'tags': ['data structures']}","{'contestId': 739, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1479918900}",C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,TESTS,73,2000,45670400,
66213346,739,1575359458,2147483647,"{'contestId': 739, 'index': 'C', 'name': 'Alyona and towers', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2500, 'tags': ['data structures']}","{'contestId': 739, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1479918900}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,5,30,2252800,
66213316,739,1575359410,2147483647,"{'contestId': 739, 'index': 'C', 'name': 'Alyona and towers', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2500, 'tags': ['data structures']}","{'contestId': 739, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1479918900}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,3,31,2252800,
66212456,739,1575358050,2147483647,"{'contestId': 739, 'index': 'C', 'name': 'Alyona and towers', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2500, 'tags': ['data structures']}","{'contestId': 739, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1479918900}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,1,30,2252800,
66212421,739,1575357991,2147483647,"{'contestId': 739, 'index': 'C', 'name': 'Alyona and towers', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2500, 'tags': ['data structures']}","{'contestId': 739, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1479918900}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,1,15,0,
66209898,650,1575353169,2147483647,"{'contestId': 650, 'index': 'C', 'name': 'Table Compression', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2200, 'tags': ['dfs and similar', 'dp', 'dsu', 'graphs', 'greedy']}","{'contestId': 650, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1457342700}",C++17 (GCC 7-32),OK,TESTS,135,998,105779200,
66209518,650,1575352386,2147483647,"{'contestId': 650, 'index': 'C', 'name': 'Table Compression', 'type': 'PROGRAMMING', 'points': 1500.0, 'rating': 2200, 'tags': ['dfs and similar', 'dp', 'dsu', 'graphs', 'greedy']}","{'contestId': 650, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1457342700}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,14,561,67788800,
