contestId,index,name,tags,rating,solved
2021,E3,Digital Village (Extreme Version),"['data structures', 'dfs and similar', 'dp', 'dsu', 'graphs', 'greedy', 'math', 'trees']",2800.0,198
2021,E2,Digital Village (Hard Version),"['data structures', 'dp', 'dsu', 'graphs', 'math', 'trees']",2500.0,318
2021,E1,Digital Village (Easy Version),"['brute force', 'data structures', 'dfs and similar', 'dp', 'dsu', 'fft', 'graphs', 'greedy', 'implementation', 'math', 'trees']",2300.0,382
2021,D,"Boss, Thirsty","['dp', 'greedy', 'implementation']",2500.0,243
2021,C2,Adjust The Presentation (Hard Version),"['constructive algorithms', 'data structures', 'greedy', 'implementation', 'sortings']",1900.0,570
2021,C1,Adjust The Presentation (Easy Version),"['constructive algorithms', 'greedy']",1300.0,633
2021,B,Maximize Mex,"['brute force', 'greedy', 'math', 'number theory']",1200.0,648
2021,A,Meaning Mean,"['data structures', 'greedy', 'math', 'sortings']",800.0,642
2020,F,Count Leaves,"['dp', 'math', 'number theory']",2900.0,92
2020,E,Expected Power,"['bitmasks', 'dp', 'math', 'probabilities']",2000.0,751
2020,D,Connect the Dots,"['brute force', 'dp', 'dsu', 'graphs', 'math', 'trees']",1800.0,747
2020,C,Bitwise Balancing,"['bitmasks', 'hashing', 'implementation', 'math', 'schedules', 'ternary search']",1400.0,744
2020,B,Brightness Begins,"['binary search', 'math']",1200.0,763
2020,A,Find Minimum Operations,"['bitmasks', 'brute force', 'greedy', 'math', 'number theory']",800.0,778
2019,B,All Pairs Segments,"['implementation', 'math']",1200.0,274
2019,A,Max Plus Size,"['brute force', 'dp', 'greedy']",800.0,289
2018,F3,Speedbreaker Counting (Hard Version),"['dp', 'greedy', 'math']",3100.0,127
2018,F2,Speedbreaker Counting (Medium Version),"['dp', 'greedy', 'math']",3000.0,129
2018,F1,Speedbreaker Counting (Easy Version),"['combinatorics', 'dp', 'greedy', 'math']",2900.0,156
2018,E2,Complex Segments (Hard Version),"['binary search', 'data structures', 'divide and conquer', 'dsu', 'greedy', 'math', 'sortings']",3400.0,57
2018,E1,Complex Segments (Easy Version),"['binary search', 'data structures', 'divide and conquer', 'dsu', 'greedy', 'math', 'sortings']",3300.0,94
2018,D,Max Plus Min Plus Size,"['data structures', 'dp', 'dsu', 'greedy', 'implementation', 'matrices', 'sortings']",2200.0,884
2018,C,Tree Pruning,"['brute force', 'dfs and similar', 'greedy', 'sortings', 'trees']",1700.0,1082
2018,B,Speedbreaker,"['binary search', 'data structures', 'dp', 'greedy', 'implementation', 'two pointers']",1900.0,1037
2018,A,Cards Partition,"['2-sat', 'brute force', 'greedy', 'implementation', 'math']",1600.0,1089
2014,H,Robin Hood Archery,"['data structures', 'divide and conquer', 'greedy', 'hashing']",1900.0,424
2014,G,Milky Days,"['brute force', 'data structures', 'greedy', 'implementation']",2200.0,305
2014,F,Sheriff's Defense,"['dfs and similar', 'dp', 'greedy', 'trees']",2000.0,361
2014,E,Rendez-vous de Marian et Robin,"['dfs and similar', 'graphs', 'shortest paths']",1800.0,350
